,BuildingID,ViolationID
2364,117056,172
17394,301169,172
2820,119272,172
38738,61064,171
44973,76679,171
41347,66685,171
42487,684673,171
14176,266735,170
1232,109445,170
17003,297443,170
44051,718042,170
39832,64076,170
20777,332240,170
14621,27313,169
48111,811461,169
1208,109419,169
38837,61671,169
47356,808684,168
1401,110181,168
32809,45700,168
5778,152724,168
32672,45429,168
5677,150946,168
56339,98123,168
44422,73802,168
41089,66278,167
12747,24078,167
25852,372100,167
54673,95154,167
13078,246202,167
23494,352130,167
21215,335825,167
56897,99400,167
50774,87861,167
44109,72058,167
22140,343398,166
2987,120383,166
44886,76110,165
39583,63598,165
3333,122235,165
40039,645330,165
47366,808708,165
32707,45482,165
48383,8148,165
20200,326817,165
55407,96761,164
1108,108749,164
20075,326015,164
668,104595,164
45960,80085,164
11835,228652,164
46061,803970,164
8814,19869,164
48375,81456,164
48876,82201,164
32808,45699,163
38536,60531,163
27023,379262,163
19850,323973,163
3653,125737,163
11447,225239,162
29413,40948,162
13237,248053,162
47063,8077,162
3930,129049,162
17911,305591,162
22874,347780,162
26628,376404,161
11111,221431,161
2253,116761,161
14428,26998,161
45950,80074,160
36711,55438,160
3355,122711,160
31649,43373,160
3770,127647,160
47392,808807,160
53538,93369,160
48668,81872,159
14106,265320,159
48284,812538,158
30339,42167,158
2732,119044,158
13281,248638,158
47540,809284,158
30162,42028,158
28499,395855,158
46296,804820,157
26110,373769,157
13348,249576,157
26117,373784,157
14403,269641,157
29754,41493,157
48599,81791,157
36755,5559,157
38711,61032,157
15040,279402,157
13338,249565,157
19911,324186,157
55929,97504,157
40779,65811,156
19073,315795,156
42408,683226,156
5943,155797,156
13556,25357,156
22525,346402,156
24681,361648,155
2772,119113,155
48524,81709,155
20327,327596,155
47483,809072,155
54062,94228,154
45980,8013,154
55792,97351,154
29421,40954,154
2308,116892,154
41212,66415,154
7676,183934,154
50426,871762,154
35585,522270,154
16264,289584,153
10546,217336,153
15018,27927,153
36765,55615,153
1130,108960,153
25419,367940,153
5607,150042,153
13234,248042,152
34898,51010,152
31657,43379,152
10019,21274,152
13297,248890,152
20251,327173,152
13195,247564,152
47109,807861,152
47234,808216,152
22547,346499,152
11869,229205,151
2729,119038,151
14467,270263,151
30093,41907,151
38713,61034,151
45352,78263,151
44414,73791,150
50110,85944,150
11796,22833,150
30136,4198,150
49663,844218,150
16468,291198,150
47281,808361,150
31663,43386,149
2658,118818,149
55982,97553,149
26649,376484,149
31710,43447,149
20149,326552,149
2843,119328,148
24772,362353,148
50416,871553,148
15192,28110,148
23922,355533,147
38427,60336,147
12138,23151,147
36584,55122,147
1242,109458,147
11449,225240,147
32678,45436,147
9460,20765,147
43520,703766,147
15953,287557,147
48637,81844,147
27331,381509,147
37015,562067,147
15233,28143,146
18190,308000,146
30301,421490,146
13165,247342,146
48402,815233,146
7992,187472,146
15668,284380,146
12823,242324,146
40395,651901,146
19867,324031,146
13256,248194,146
22847,347747,146
2391,117106,145
31056,42876,145
1387,110162,145
52078,900402,145
20778,332244,145
15234,28144,145
2203,116657,145
19843,323953,145
38512,60500,145
13321,249525,144
12977,24448,144
54389,947146,144
26849,377833,144
55788,97349,144
952,107767,144
29151,40445,143
13307,249200,143
8737,19796,143
15776,285052,143
13350,249578,143
40679,65707,143
48676,81881,143
27887,386645,142
21642,3393,142
48426,8157,142
38190,59730,142
31800,43542,142
2102,116089,142
21405,337401,141
27379,38171,141
13576,254021,141
40221,64871,141
212,100793,141
15720,284638,141
54075,94269,140
20325,327587,140
47651,80968,140
13093,246461,140
