,BORO,bbl,price_per_blgd,TOTAL INCOME FROM REAL ESTATE,TOTAL EXPENSES,cap rate
199,2,2027030020,3200000,309572.0,253724.0,0.0174525
200,2,2027900018,3850000,369148.0,180034.0,0.04912051948051948
201,2,2028050045,6350000,465093.0,245231.0,0.034623937007874014
202,2,2029710019,2625000,132473.0,46622.0,0.032705142857142856
204,2,2030750028,1776000,21026.0,38132.0,-0.009631756756756756
205,2,2031620009,2987500,279143.0,182536.0,0.032337071129707115
206,2,2031910054,3025000,148027.0,129759.0,0.0060390082644628095
207,2,2032120078,2075000,228863.0,306842.0,-0.03758024096385542
208,2,2033050010,3100000,248551.0,166871.0,0.026348387096774194
209,2,2037230048,5000000,257446.0,218011.0,0.007887
210,2,2039230038,1900000,98766.0,35143.0,0.03348578947368421
211,3,3001760036,16500000,491449.0,150858.0,0.02064187878787879
212,3,3002490025,2800000,133590.0,61330.0,0.02580714285714286
213,3,3002740035,3850000,186882.0,44644.0,0.03694493506493506
214,3,3009140001,7000000,276235.0,148140.0,0.018299285714285716
215,3,3009180012,5400000,207940.0,41895.0,0.030749074074074075
216,3,3009340039,3700000,216216.0,56289.0,0.043223513513513515
217,3,3009660043,4492000,287854.0,95724.0,0.04277159394479074
218,3,3010050038,2536000,185379.0,54314.0,0.051681782334384856
219,3,3010160081,3040000,171860.0,80812.0,0.02995
220,3,3010410064,3040000,233450.0,75240.0,0.05204276315789474
221,3,3010470003,86000000,2133097.0,247459.0,0.021926023255813953
222,3,3011640082,8583975,319756.0,115377.0,0.02380936570761215
223,3,3011660064,2861325,184742.0,74850.0,0.03840598324202948
224,3,3011770007,22000000,735015.0,283443.0,0.020526
225,3,3012680001,1800000,117342.0,70840.0,0.025834444444444445
226,3,3013860054,3240000,165377.0,104454.0,0.018803395061728394
227,3,3013990052,2450000,83277.0,48005.0,0.01439673469387755
228,3,3014070041,3170000,72082.0,86760.0,-0.004630283911671924
229,3,3015400018,1700000,1055.0,22091.0,-0.012374117647058824
230,3,3018030072,2500000,148548.0,161563.0,-0.005206
231,3,3019970020,8353019,537246.0,320049.0,0.026002215486400786
232,3,3026250040,1000000,410313.0,50801.0,0.359512
233,3,3032370027,4000000,335738.0,283416.0,0.0130805
234,3,3032800004,680000,37788.0,36365.0,0.0020926470588235294
235,3,3046740021,3730000,234623.0,143285.0,0.024487399463806972
236,3,3046950031,4050000,37758.0,25981.0,0.002907901234567901
237,3,3047240040,4250000,418871.0,241651.0,0.04169882352941177
238,3,3050060006,750000,851296.0,335496.0,0.6877333333333333
239,3,3051630063,5722650,199741.0,84066.0,0.020213537434580132
240,3,3065410046,5518000,134500.0,64441.0,0.012696447988401595
241,3,3066210001,8150000,428419.0,170097.0,0.0316959509202454
242,3,3067480016,5050000,555026.0,429803.0,0.024796633663366336
243,3,3067570031,850000,782320.0,353197.0,0.5048505882352942
244,3,3069280050,1000000,2162725.0,1012183.0,1.150542
245,3,3073570001,650000,1352659.0,429885.0,1.4196523076923078
246,3,3074220917,850000,1534213.0,642856.0,1.048655294117647
247,3,3074640022,950000,1331333.0,436382.0,0.9420536842105263
248,4,4006230063,3100000,130117.0,39147.0,0.02934516129032258
249,4,4032560031,4250000,157117.0,47009.0,0.025907764705882352
250,4,4095230051,6100000,388912.0,182954.0,0.03376360655737705
