BORO,Borough Name,median cap rate(%),mean cap rate(%)
1,Manhattan,2.1885660563380283,3.4487644829306996
2,Bronx,3.2705142857142855,3.137758074127064
3,Brooklyn,3.751360702166203,12.413762787922728
4,Queens,3.7327319151704397,3.084246959361738
