BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Total Expenses
1009720001,"$296,408,744",$0,"$296,408,744","$699,723","$5,935,068",$0,"$762,655","$328,244,073","$132,731,058"
1009780001,"$92,582,528",$0,"$92,582,528","$215,920","$887,499",$0,"$111,646","$98,720,456","$49,059,375"
1000180100,"$67,866,472",$0,"$67,866,472",$0,"$3,224,176","$2,806,176",$0,"$75,202,063","$31,009,091"
3044350001,"$56,840,229",$0,"$56,840,229",$0,"$1,262,947",$0,"$81,484,026","$145,391,576","$105,091,989"
3044350050,"$56,840,229",$0,"$56,840,229",$0,"$1,262,947",$0,"$81,484,026","$145,391,576","$105,091,989"
3044520001,"$56,840,229",$0,"$56,840,229",$0,"$1,262,947",$0,"$81,484,026","$145,391,576","$105,091,989"
3044520010,"$56,840,229",$0,"$56,840,229",$0,"$1,262,947",$0,"$81,484,026","$145,391,576","$105,091,989"
3044520020,"$56,840,229",$0,"$56,840,229",$0,"$1,262,947",$0,"$81,484,026","$145,391,576","$105,091,989"
3044520040,"$56,840,229",$0,"$56,840,229",$0,"$1,262,947",$0,"$81,484,026","$145,391,576","$105,091,989"
3044520060,"$56,840,229",$0,"$56,840,229",$0,"$1,262,947",$0,"$81,484,026","$145,391,576","$105,091,989"
3044520085,"$56,840,229",$0,"$56,840,229",$0,"$1,262,947",$0,"$81,484,026","$145,391,576","$105,091,989"
3044520105,"$56,840,229",$0,"$56,840,229",$0,"$1,262,947",$0,"$81,484,026","$145,391,576","$105,091,989"
3044520125,"$56,840,229",$0,"$56,840,229",$0,"$1,262,947",$0,"$81,484,026","$145,391,576","$105,091,989"
3044520135,"$56,840,229",$0,"$56,840,229",$0,"$1,262,947",$0,"$81,484,026","$145,391,576","$105,091,989"
3044520200,"$56,840,229",$0,"$56,840,229",$0,"$1,262,947",$0,"$81,484,026","$145,391,576","$105,091,989"
3044520325,"$56,840,229",$0,"$56,840,229",$0,"$1,262,947",$0,"$81,484,026","$145,391,576","$105,091,989"
4071150002,"$55,727,326","$8,939,196","$64,666,522",$0,"$347,834",$0,"$477,380","$70,969,151","$27,200,167"
1007210007,"$33,559,033",$0,"$33,559,033","$1,729,639",$0,"$197,664","$82,876","$37,419,414","$15,438,192"
1010890001,"$32,157,057",$0,"$32,157,057",$0,"$2,185,588",$0,$0,"$36,461,870","$14,342,697"
3001450022,"$29,733,875",$0,"$29,733,875",$0,$0,$0,$0,"$31,079,759","$7,104,620"
1000690018,"$29,225,863",$0,"$29,225,863",$0,"$1,342,264",$0,$0,"$31,451,529","$8,630,401"
1007090031,"$29,026,233",$0,"$29,026,233",$0,"$745,549",$0,$0,"$31,332,465","$9,006,031"
1007000009,"$27,831,117",$0,"$27,831,117",$0,$0,$0,$0,"$29,256,551","$6,491,746"
1010680003,"$27,302,903",$0,"$27,302,903","$2,384,643","$2,163,599","$387,733",$0,"$34,299,862","$11,844,342"
4158100001,"$26,169,602",$0,"$26,169,602",$0,"$679,385","$30,000","$29,215","$28,673,396","$15,149,625"
1011710062,"$21,600,922",$0,"$21,600,922",$0,"$2,411,870",$0,$0,"$25,166,417","$4,959,093"
1010210001,"$20,900,288",$0,"$20,900,288",$0,"$3,106,915",$0,$0,"$25,992,526","$6,304,006"
1011710129,"$20,758,650",$0,"$20,758,650",$0,"$1,715,561",$0,$0,"$23,277,695","$5,426,076"
2047120001,"$20,717,943",$0,"$20,717,943",$0,"$67,125",$0,"$643,147","$21,842,732","$11,409,275"
1000160200,"$20,489,391",$0,"$20,489,391",$0,"$78,555",$0,$0,"$21,850,193","$6,937,445"
1010520001,"$20,382,828",$0,"$20,382,828",$0,"$6,946,161",$0,"$41,435,389","$77,650,558","$22,304,683"
1001510001,"$20,357,379",$0,"$20,357,379",$0,"$621,659",$0,$0,"$21,873,991","$8,651,891"
1008270001,"$20,242,851",$0,"$20,242,851",$0,"$2,194,113",$0,$0,"$23,646,727","$5,308,181"
1000160180,"$19,970,849",$0,"$19,970,849",$0,$0,$0,$0,"$20,747,394","$5,755,529"
4066790006,"$19,738,243",$0,"$19,738,243",$0,"$29,751",$0,"$467,589","$20,761,125","$10,124,451"
1011050029,"$19,407,800",$0,"$19,407,800",$0,"$547,067",$0,$0,"$20,822,006","$8,326,362"
1000160195,"$18,590,868",$0,"$18,590,868",$0,"$393,010",$0,$0,"$19,446,409","$5,531,095"
1021530001,"$17,234,527",$0,"$17,234,527",$0,"$1,336,226",$0,$0,"$19,351,153","$13,456,360"
1021620001,"$17,234,527",$0,"$17,234,527",$0,"$1,336,226",$0,$0,"$19,351,153","$13,456,360"
1001730027,"$17,021,721",$0,"$17,021,721",$0,"$808,614",$0,$0,"$18,584,548","$4,025,669"
1002530001,"$16,740,547",$0,"$16,740,547",$0,"$466,934",$0,"$1,736,729","$21,956,905","$15,159,115"
4008940030,"$16,675,080",$0,"$16,675,080",$0,$0,$0,$0,"$17,163,146","$6,787,315"
1010190001,"$16,578,469",$0,"$16,578,469","$945,385","$1,260,571",$0,$0,"$19,838,147","$4,592,239"
1000160210,"$16,352,388",$0,"$16,352,388",$0,"$63,473",$0,$0,"$16,863,017","$4,876,056"
1007750044,"$16,140,764",$0,"$16,140,764",$0,"$3,493,375",$0,$0,"$20,598,182","$4,864,797"
1018650020,"$16,066,795",$0,"$16,066,795",$0,$0,$0,$0,"$16,838,807","$4,498,564"
1000160185,"$15,951,978",$0,"$15,951,978",$0,$0,$0,$0,"$16,594,133","$4,741,561"
1011520013,"$15,920,524",$0,"$15,920,524","$204,567","$191,989",$0,$0,"$17,080,608","$4,188,989"
1011710133,"$15,051,363",$0,"$15,051,363",$0,"$1,077,845",$0,$0,"$16,639,947","$3,867,803"
1006950015,"$14,855,281",$0,"$14,855,281",$0,"$1,825,307",$0,$0,"$16,859,390","$4,954,886"
1002240001,"$14,758,351",$0,"$14,758,351",$0,"$204,734",$0,$0,"$15,811,810","$3,522,400"
1012980041,"$14,583,323",$0,"$14,583,323",$0,"$580,211",$0,$0,"$15,394,023","$4,436,528"
1015630004,"$14,531,695",$0,"$14,531,695",$0,"$591,929",$0,$0,"$15,541,142","$5,881,913"
4004130002,"$14,498,663",$0,"$14,498,663",$0,"$61,882",$0,$0,"$14,991,365","$4,326,592"
1010840025,"$14,495,556",$0,"$14,495,556",$0,"$3,300,000",$0,$0,"$18,787,802","$6,674,929"
1010700029,"$14,368,240",$0,"$14,368,240",$0,"$826,408",$0,$0,"$16,229,086","$5,516,241"
1009340001,"$14,160,036","$22,715,528","$36,875,564",$0,"$2,314,328",$0,$0,"$40,219,604","$12,718,011"
1007010062,"$13,721,592",$0,"$13,721,592",$0,"$226,728",$0,$0,"$14,912,393","$4,258,982"
1005659021,"$13,716,753",$0,"$13,716,753",$0,$0,$0,$0,"$14,074,190","$4,330,481"
1017600001,"$13,601,307","$4,844,540","$18,445,847",$0,"$85,538",$0,"$294,246","$19,023,271","$10,688,419"
1011710148,"$13,516,050",$0,"$13,516,050",$0,"$959,924",$0,$0,"$14,818,940","$4,482,787"
1014550021,"$13,218,491",$0,"$13,218,491",$0,$0,$0,$0,"$13,967,850","$4,642,083"
3001220013,"$13,127,777",$0,"$13,127,777",$0,"$77,722",$0,$0,"$13,431,596","$6,956,653"
1012420010,"$13,114,278",$0,"$13,114,278",$0,"$2,616,861",$0,$0,"$15,910,522","$5,539,239"
4076440002,"$13,015,405",$0,"$13,015,405",$0,$0,$0,"$65,667","$13,725,619","$4,912,842"
4076580002,"$13,015,405",$0,"$13,015,405",$0,$0,$0,"$65,667","$13,725,619","$4,912,842"
4076600002,"$13,015,405",$0,"$13,015,405",$0,$0,$0,"$65,667","$13,725,619","$4,912,842"
4076720002,"$13,015,405",$0,"$13,015,405",$0,$0,$0,"$65,667","$13,725,619","$4,912,842"
1007350006,"$12,728,172",$0,"$12,728,172",$0,"$769,158",$0,$0,"$14,505,309","$3,555,470"
1008260001,"$12,550,825",$0,"$12,550,825",$0,"$1,571,468",$0,$0,"$15,198,112","$4,335,851"
1000260014,"$12,501,892","$1,538,798","$14,040,690",$0,"$1,160,073",$0,$0,"$15,218,518","$4,451,571"
1011710063,"$12,469,454","$18,132,933","$30,602,387",$0,"$1,198,848",$0,$0,"$33,768,090","$14,811,189"
1007950001,"$12,458,102",$0,"$12,458,102",$0,"$1,460,730",$0,"$66,864","$14,712,497","$4,439,806"
1016250016,"$12,204,220",$0,"$12,204,220",$0,"$1,039,939",$0,$0,"$14,052,699","$3,126,594"
1001700020,"$12,124,109",$0,"$12,124,109",$0,"$1,004,329",$0,$0,"$14,611,533","$4,116,370"
