BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Total Expenses
1009720001,"$265,323,374",$0,"$265,323,374","$675,563","$5,018,937",$0,"$1,794,630","$295,062,085","$152,366,328"
1009780001,"$83,379,425",$0,"$83,379,425","$363,695","$539,941",$0,"$152,227","$92,261,977","$55,530,362"
1000160100,"$61,337,999",$0,"$61,337,999","$284,682","$2,574,440","$1,176,346",$0,"$66,964,349","$24,131,541"
3044350001,"$53,046,177",$0,"$53,046,177",$0,"$1,336,612",$0,"$64,810,491","$125,775,311","$87,128,923"
3044350050,"$53,046,177",$0,"$53,046,177",$0,"$1,336,612",$0,"$64,810,491","$125,775,311","$87,128,923"
3044520001,"$53,046,177",$0,"$53,046,177",$0,"$1,336,612",$0,"$64,810,491","$125,775,311","$87,128,923"
3044520010,"$53,046,177",$0,"$53,046,177",$0,"$1,336,612",$0,"$64,810,491","$125,775,311","$87,128,923"
3044520020,"$53,046,177",$0,"$53,046,177",$0,"$1,336,612",$0,"$64,810,491","$125,775,311","$87,128,923"
3044520040,"$53,046,177",$0,"$53,046,177",$0,"$1,336,612",$0,"$64,810,491","$125,775,311","$87,128,923"
3044520060,"$53,046,177",$0,"$53,046,177",$0,"$1,336,612",$0,"$64,810,491","$125,775,311","$87,128,923"
3044520085,"$53,046,177",$0,"$53,046,177",$0,"$1,336,612",$0,"$64,810,491","$125,775,311","$87,128,923"
3044520105,"$53,046,177",$0,"$53,046,177",$0,"$1,336,612",$0,"$64,810,491","$125,775,311","$87,128,923"
3044520125,"$53,046,177",$0,"$53,046,177",$0,"$1,336,612",$0,"$64,810,491","$125,775,311","$87,128,923"
3044520135,"$53,046,177",$0,"$53,046,177",$0,"$1,336,612",$0,"$64,810,491","$125,775,311","$87,128,923"
3044520200,"$53,046,177",$0,"$53,046,177",$0,"$1,336,612",$0,"$64,810,491","$125,775,311","$87,128,923"
3044520325,"$53,046,177",$0,"$53,046,177",$0,"$1,336,612",$0,"$64,810,491","$125,775,311","$87,128,923"
1007299001,"$35,159,584","$1,712,382","$36,871,966",$0,$0,$0,$0,"$50,407,345","$21,402,273"
1007210007,"$32,012,939",$0,"$32,012,939","$1,544,068",$0,"$24,000","$71,166","$35,331,617","$13,978,688"
1011710063,"$30,985,822",$0,"$30,985,822",$0,"$1,005,583",$0,$0,"$33,678,567","$13,357,179"
1010890001,"$29,742,151",$0,"$29,742,151",$0,"$2,082,616",$0,$0,"$33,780,088","$14,392,080"
1007090031,"$28,516,260",$0,"$28,516,260",$0,"$693,843",$0,$0,"$30,619,974","$7,713,861"
1010680003,"$27,124,456",$0,"$27,124,456","$1,969,319","$1,631,222","$370,418",$0,"$33,113,617","$10,510,976"
1017370001,"$24,466,972",$0,"$24,466,972",$0,"$34,606",$0,"$1,037,725","$26,719,007","$17,237,398"
4157800100,"$22,707,766",$0,"$22,707,766","$633,606",$0,"$130,257","$32,737","$24,843,505","$15,868,089"
4158100001,"$22,707,766",$0,"$22,707,766","$633,606",$0,"$130,257","$32,737","$24,843,505","$15,868,089"
4158100071,"$22,707,766",$0,"$22,707,766","$633,606",$0,"$130,257","$32,737","$24,843,505","$15,868,089"
4158150220,"$22,707,766",$0,"$22,707,766","$633,606",$0,$0,"$32,737","$24,843,505","$15,868,089"
1009140036,"$22,667,773",$0,"$22,667,773",$0,"$1,570,210",$0,$0,"$27,735,679","$5,495,247"
1011710062,"$20,692,321",$0,"$20,692,321",$0,"$2,206,299",$0,$0,"$23,676,815","$4,617,843"
1010210001,"$20,582,499",$0,"$20,582,499",$0,"$2,962,189",$0,$0,"$25,327,508","$5,521,856"
1000160180,"$20,168,305",$0,"$20,168,305",$0,$0,$0,$0,"$21,076,224","$6,021,545"
1009340001,"$19,724,097",$0,"$19,724,097",$0,"$1,195,075",$0,"$11,251,480","$34,187,013","$13,823,008"
1000160200,"$19,627,122",$0,"$19,627,122",$0,"$63,675",$0,$0,"$20,896,652","$6,255,522"
1011050029,"$19,516,670",$0,"$19,516,670",$0,"$585,436",$0,$0,"$20,640,036","$7,691,825"
