BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Total Expenses
1009720001,"$273,481,681",$0,"$273,481,681","$690,065","$5,191,102",$0,"$1,815,313","$305,566,265","$139,679,005"
1009780001,"$85,284,106",$0,"$85,284,106","$235,119","$737,211",$0,"$259,895","$91,648,774","$50,952,281"
1000160100,"$63,912,861",$0,"$63,912,861","$221,665","$3,257,508","$2,374,761",$0,"$70,995,012","$23,947,307"
4033480010,"$54,978,261",$0,"$54,978,261",$0,$0,$0,$0,"$54,978,261","$497,283"
4000190019,"$23,297,903",$0,"$23,297,903",$0,"$117,718",$0,$0,"$24,965,533","$4,157,038"
1009340001,"$21,775,384",$0,"$21,775,384",$0,"$1,391,613",$0,"$11,527,199","$36,808,216","$13,779,033"
1010210001,"$21,400,774",$0,"$21,400,774",$0,"$2,992,276",$0,$0,"$26,078,180","$5,513,490"
1011050029,"$20,093,100",$0,"$20,093,100",$0,"$626,769",$0,$0,"$21,520,556","$6,956,693"
1000160180,"$19,475,724",$0,"$19,475,724",$0,$0,$0,$0,"$20,223,122","$5,659,380"
1015140039,"$16,518,721",$0,"$16,518,721",$0,"$2,159,311",$0,$0,"$20,585,934","$8,559,347"
1010190001,"$16,353,645",$0,"$16,353,645","$903,091","$1,168,080",$0,$0,"$19,434,911","$4,454,467"
1000160185,"$15,551,295",$0,"$15,551,295",$0,$0,$0,$0,"$16,227,113","$4,541,370"
1021530001,"$15,046,786",$0,"$15,046,786",$0,"$638,205",$0,$0,"$15,767,338","$11,245,494"
1021620001,"$15,046,786",$0,"$15,046,786",$0,"$638,205",$0,$0,"$15,767,338","$11,245,494"
1000160210,"$14,691,105",$0,"$14,691,105",$0,"$50,550",$0,$0,"$15,046,591","$4,247,529"
1002240001,"$14,597,494",$0,"$14,597,494",$0,"$304,512",$0,$0,"$15,787,883","$3,490,498"
1012980041,"$14,421,712",$0,"$14,421,712",$0,"$548,204",$0,$0,"$15,354,296","$5,590,196"
1010700029,"$13,986,094",$0,"$13,986,094",$0,"$904,264",$0,$0,"$15,892,804","$5,472,799"
1007010062,"$13,907,886",$0,"$13,907,886",$0,"$213,720",$0,$0,"$15,217,419","$3,589,339"
1008260001,"$12,530,781",$0,"$12,530,781",$0,"$1,467,888",$0,$0,"$14,966,300","$4,033,330"
1018650040,"$11,959,105",$0,"$11,959,105",$0,$0,$0,$0,"$13,038,368","$2,846,911"
1010710042,"$11,811,511",$0,"$11,811,511",$0,"$209,859",$0,$0,"$12,475,479","$3,822,910"
1015370022,"$10,718,252",$0,"$10,718,252","$195,218","$496,020",$0,"$6,939,315","$19,218,158","$8,988,058"
4029740060,"$10,586,449",$0,"$10,586,449",$0,$0,$0,$0,"$10,865,603","$5,105,232"
1004560007,"$10,495,426",$0,"$10,495,426",$0,"$1,432,449",$0,$0,"$12,895,988","$2,877,812"
1011690048,"$10,182,298",$0,"$10,182,298",$0,"$3,575,023",$0,$0,"$13,901,909","$2,980,863"
1012010034,"$10,164,958",$0,"$10,164,958","$609,075",$0,$0,$0,"$10,807,078","$6,499,499"
1012380046,"$9,672,130",$0,"$9,672,130",$0,$0,$0,$0,"$10,222,317","$3,551,473"
1013060023,"$8,996,946",$0,"$8,996,946",$0,$0,$0,$0,"$10,875,120","$3,170,911"
1010460047,"$8,824,327",$0,"$8,824,327",$0,$0,$0,$0,"$9,562,231","$2,804,282"
1005440065,"$8,763,028",$0,"$8,763,028",$0,"$1,500,000",$0,$0,"$10,383,890","$2,028,566"
1008610004,"$8,453,985",$0,"$8,453,985",$0,$0,$0,$0,"$8,578,437","$2,148,579"
3014340001,"$7,592,434",$0,"$7,592,434",$0,"$445,462",$0,$0,"$8,556,141","$5,711,301"
4001170001,"$7,425,238",$0,"$7,425,238",$0,$0,$0,"$63,973","$7,580,730","$4,340,339"
1010799029,"$7,237,575","$6,670,359","$13,907,934",$0,"$362,957",$0,$0,"$15,023,001","$6,136,574"
1012200029,"$7,088,265",$0,"$7,088,265",$0,"$2,650,834",$0,$0,"$10,884,779","$2,638,878"
4015100020,"$6,925,559",$0,"$6,925,559",$0,$0,$0,$0,"$7,134,365","$4,558,928"
4031750001,"$6,896,450","$26,067,372","$32,963,822","$830,945",$0,$0,$0,"$36,769,730","$15,287,661"
1020350001,"$6,869,601","$344,946","$7,214,547",$0,"$302,285",$0,"$114,264","$7,751,980","$7,029,582"
1015570025,"$6,778,674",$0,"$6,778,674",$0,"$1,997",$0,$0,"$7,064,644","$3,365,812"
3050260100,"$6,673,726","$1,464,964","$8,138,690",$0,$0,$0,"$62,079","$8,635,535","$4,146,602"
3050260132,"$6,673,726","$1,464,964","$8,138,690",$0,$0,$0,"$62,079","$8,635,535","$4,146,602"
1018960043,"$6,645,158",$0,"$6,645,158","$16,800",$0,$0,$0,"$6,763,281","$3,216,120"
1006410017,"$6,270,768",$0,"$6,270,768",$0,$0,$0,$0,"$6,409,942","$1,456,731"
