BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Units,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses 
4012310032,"$283,638",$0,"$283,638","$10,865",0,$0,$0,$0,"$301,853",$0,"$136,456"
2030860004,"$283,572",$0,"$283,572",$0,0,"$13,950",$0,$0,"$315,505",$0,"$265,462"
3067230001,"$283,550",$0,"$283,550",$0,0,$0,$0,$0,"$283,550",$0,"$128,067"
4051800049,"$283,546","$18,000","$301,546",$0,0,$0,$0,$0,"$301,546",$0,"$154,225"
2032840039,"$283,427",$0,"$283,427",$0,0,"$29,100",$0,$0,"$312,527",$0,"$173,733"
3011580023,"$283,409",$0,"$283,409",$0,0,$0,$0,$284,"$283,693",$0,"$138,289"
1021420009,"$283,355",$0,"$283,355",$0,0,$0,$0,"$25,619","$308,974",$0,"$169,884"
2032610005,"$283,319",$0,"$283,319",$0,0,$0,$0,$0,"$283,319",$0,"$191,073"
1015560003,"$283,129",$0,"$283,129",$0,0,"$189,060",$0,$0,"$472,189","$1,032","$116,573"
3054480058,"$283,111",$0,"$283,111",$0,0,$0,$0,$0,"$284,311","$3,115","$181,875"
3063740001,"$283,052",$0,"$283,052",$0,0,$0,$0,$0,"$283,052",$0,"$124,372"
3056230012,"$283,032","$17,640","$300,672",$0,0,$0,$0,"$34,419","$335,608",$0,"$119,770"
2027130002,"$283,029",$0,"$283,029",$0,0,$0,"$20,125","$1,034,934","$1,341,912",$0,"$989,959"
1010660022,"$282,962",$0,"$282,962",$0,0,$0,$0,$0,"$282,962",$0,"$204,287"
1004880006,"$282,957","$97,740","$380,697",$0,0,$0,$0,$0,"$380,697",$501,"$113,955"
3068540038,"$282,954",$0,"$282,954",$0,0,"$51,288",$0,$0,"$350,865",$0,"$121,389"
1015290020,"$282,901",$0,"$282,901",$0,0,$0,$0,$0,"$282,901",$0,"$76,320"
2033130084,"$282,812",$0,"$282,812",$0,0,$0,$0,$0,"$282,812",$0,"$246,018"
1018880081,"$282,736","$543,241","$825,977",$0,0,$0,$0,$0,"$825,977",$0,"$518,674"
1013500019,"$282,695","$210,841","$493,536",$0,0,$0,$0,$0,"$493,536",$0,"$214,976"
2027990025,"$282,568",$0,"$282,568",$0,0,$0,$0,$0,"$282,568",$0,"$187,609"
1015280039,"$282,476",$0,"$282,476",$0,0,$0,$0,$0,"$282,476","$2,600","$107,197"
3060340076,"$282,458",$0,"$282,458","$18,480",0,$0,$0,$0,"$303,458",$0,"$151,641"
1015800016,"$282,451",$0,"$282,451",$0,0,$0,$0,$0,"$282,451","$4,392","$130,426"
1007700075,"$282,446",$0,"$282,446",$0,0,"$131,654",$0,$0,"$416,036",$0,"$92,895"
1015520031,"$282,420",$0,"$282,420",$0,0,$0,$0,$0,"$282,420","$5,937","$126,942"
1021590016,"$282,413",$0,"$282,413","$47,196",0,$0,$0,$0,"$329,609",$0,"$213,274"
2042490042,"$282,212",$0,"$282,212",$0,0,$0,$0,"$10,500","$358,252",$0,"$170,568"
3023680029,"$282,134",$0,"$282,134",$0,0,$0,$0,$0,"$297,296",$0,"$47,394"
1018620003,"$282,076",$0,"$282,076",$0,0,$0,$0,$0,"$282,076",$0,"$259,548"
4017800036,"$282,032",$0,"$282,032",$0,0,$0,$0,$0,"$303,782",$0,"$242,437"
1005860080,"$282,030",$0,"$282,030",$0,0,$0,$0,$0,"$282,030","$39,148","$163,390"
1012470036,"$282,030",$0,"$282,030",$0,0,$0,$0,$0,"$293,939",$0,"$355,612"
1012470135,"$282,030",$0,"$282,030",$0,0,$0,$0,$0,"$293,939",$0,"$355,612"
1004480012,"$281,947",$0,"$281,947",$0,0,$0,$0,$0,"$281,947",$0,"$78,085"
3075480033,"$281,938",$0,"$281,938",$0,0,$0,$0,$0,"$281,938",$0,"$153,419"
1009060011,"$281,936","$405,820","$687,756",$0,0,$0,$0,$0,"$691,081",$0,"$179,139"
1021080081,"$281,798",$0,"$281,798",$0,0,"$49,425",$0,$0,"$344,779",$0,"$230,823"
1014500038,"$281,612",$0,"$281,612",$0,0,$0,$0,$0,"$281,612","$6,095","$120,654"
1010830029,"$281,606","$4,927,598","$5,209,204",$0,0,"$554,280",$0,$0,"$6,131,139","$24,021","$1,862,648"
