BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Gov't Rent Subsidies Income,Total Real Estate Income,Total Expenses
1021120015,"$784,279","$565,160","$1,349,439","$75,144","$59,853","$29,012","$1,558,540","$458,632"
1021150017,"$690,593",,"$690,593",,,,"$690,593","$384,366"
1021160058,"$705,687",,"$705,687",,,,"$705,687","$507,521"
1021360128,"$862,842",,"$862,842",,,,"$862,842","$527,227"
1021360083,"$573,677",,"$573,677",,,,"$573,677","$384,938"
1021360200,"$751,415",,"$751,415",,,,"$751,415","$415,354"
1021450033,"$297,434",,"$297,434",,,,"$297,434","$140,744"
1021570047,"$285,174",,"$285,174",,,,"$296,193","$141,932"
1021570067,"$359,027",,"$359,027",,"$193,555",,"$552,582","$170,082"
1021630025,"$380,788",,"$380,788",,"$274,516","$106,849","$850,609","$235,885"
1021690003,"$494,593",,"$494,593",,,,"$494,593","$310,935"
1021740135,"$1,481,134",,"$1,481,134",,,,"$1,481,134","$775,557"
2032400037,"$718,478",,"$718,478",,"$79,100",,"$797,578","$354,239"
2032590022,"$1,081,994",,"$1,081,994",,,,"$1,081,994","$490,771"
2032710002,"$844,749",,"$844,749",,,,"$844,749","$352,650"
2033240019,"$913,189",,"$913,189",,,"$13,680","$926,869","$380,781"
2033320007,"$380,231",,"$380,231",,,,"$380,231","$167,475"
2033500003,"$348,856",,"$348,856",,,,"$348,856","$154,930"
2033500044,"$484,025",,"$484,025",,,,"$484,025","$186,465"
2038710007,"$837,942",,"$837,942",,"$79,000",,"$965,447","$416,087"
2038990010,"$386,926",,"$386,926",,,,"$386,926","$188,101"
2038990013,"$438,873",,"$438,873",,,,"$438,873","$182,076"
2039170010,"$369,942",,"$369,942",,,,"$369,942","$182,692"
2040070005,"$604,836",,"$604,836",,"$31,600",,"$636,436","$267,551"
2042610024,"$628,031",,"$628,031",,"$73,047",,"$701,078","$325,158"
2043220043,"$631,696",,"$631,696",,,,"$631,696","$265,613"
2044270007,"$783,586",,"$783,586",,,,"$783,586","$490,829"
2044320028,"$704,022",,"$704,022",,"$40,660",,"$744,682","$323,250"
2044350030,"$67,396",,"$67,396",,,,"$67,396","$36,171"
2044380016,"$471,971",,"$471,971",,,,"$471,971","$200,765"
2044390005,"$887,218",,"$887,218",,,,"$889,343","$348,236"
2044460047,"$371,948",,"$371,948",,,,"$404,829","$184,785"
2048220021,"$735,192",,"$735,192",,,,"$735,192","$340,289"
2048300034,"$564,119",,"$564,119",,,,"$564,119","$258,015"
2053560011,,"$31,200",31200,,"$34,200",,"$79,200","$55,000"
2053840010,"$728,751",,"$728,751",,"$25,900",,"$778,988","$299,938"
2057030160,"$1,255,958",,"$1,255,958",,"$71,159",,"$1,327,117","$537,474"
2058251572,"$648,526",,"$648,526",,,,"$648,526","$211,738"
5031910001,,"$218,210",218210,,,,"$218,210","$134,863"
4001840009,"$847,097",,"$847,097",,,,"$861,122","$223,107"
4008040001,,"$70,200",70200,,,,"$70,200","$20,909"
4008040101,,"$79,800",79800,,,,"$79,800","$16,268"
4013170074,"$215,037",,"$215,037",,"$31,180",,"$246,217","$70,190"
4013230001,"$214,891",,"$214,891",,"$176,350",,"$391,241","$123,412"
4015660001,"$1,154,978",,"$1,154,978",,,,"$1,226,480","$692,472"
4017530063,"$430,376",,"$430,376",,,,"$430,376","$209,781"
4036590025,,"$72,600",72600,,"$14,400",,"$87,000","$24,260"
4049570080,"$699,124",,"$699,124",,,,"$699,124","$319,551"
4051020122,"$61,200",,"$61,200",,,,"$61,200","$15,419"
4096940063,"$85,833",,"$85,833",,,,"$88,064","$49,911"
4096940064,"$74,098",,"$74,098",,,,"$76,024","$43,088"
4096940065,"$93,734",,"$93,734",,,,"$96,175","$54,509"
1004350011,"$11,110","$266,187","$277,297",,"$173,139",,"$450,436","$155,784"
1008920039,"$40,540","$148,050","$188,590",,"$301,635",,"$498,699","$113,987"
1008920047,,"$173,865",173865,,,,"$175,992","$120,996"
1009090031,,"$274,750",274750,,"$99,600",,"$374,350","$128,355"
1015130056,"$182,955","$191,442","$374,397",,,,,"$63,297"
1015170025,"$16,750","$1,417,852","$1,434,602",,,,"$1,459,802","$489,840"
1015450018,"$93,009","$117,600","$210,609",,,,,"$69,041"
1020800005,"$999,191",,"$999,191",,,,"$1,010,214","$330,153"
3074040020,"$2,021,834",,"$2,021,834",,,"$13,757","$2,141,798","$1,077,104"
3077940047,"$100,587",,"$100,587",,,,"$100,587","$61,442"
3006300018,"$335,853",,"$335,853",,,,"$335,853","$331,715"
3006570018,"$165,748","$29,400","$195,148",,,,"$195,148","$118,326"
3010290020,"$497,289",,"$497,289",,,,"$497,289","$232,678"
3011490018,"$2,964,340",,"$2,964,340",,"$492,277",,"$3,599,518","$873,412"
3011920014,"$496,724",,"$496,724",,,,"$496,724","$393,157"
3051410032,"$208,375",,"$208,375",,,,"$208,375","$164,803"
3053700002,"$208,585",,"$208,585",,,,"$212,296","$86,518"
3055950043,"$614,882",,"$614,882",,"$216,781",,"$840,097","$393,939"
3057640025,"$273,884",,"$273,884",,"$90,900",,"$398,006","$184,483"
3057820048,"$197,501",,"$197,501",,,,"$197,501","$111,828"
3058740084,"$1,249,559",,"$1,249,559",,,"$2,933","$1,309,900","$669,625"
3059300031,"$545,234","$9,600","$554,834",,,,"$554,834","$181,968"
3059880039,"$783,737",,"$783,737",,,,"$783,737","$548,465"
3059970070,"$186,362",,"$186,362",,,,"$186,362","$134,218"
3060250032,"$492,021",,"$492,021",,,,"$492,021","$323,836"
3060370001,"$509,071",,"$509,071","$162,226",,,"$671,297","$362,089"
3060370006,"$742,800",,"$742,800",,,,,"$331,139"
3060820022,"$142,310",,"$142,310",,,,"$142,310","$115,461"
3061370063,"$425,820",,"$425,820",,,,"$425,820","$262,733"
3062040001,"$1,263,263",,"$1,263,263",,,,"$1,333,548","$454,605"
3062140062,"$230,400","$31,804","$262,204",,,,"$276,604","$154,120"
3067950047,"$1,097,432",,"$1,097,432","$17,680",,"$36,261","$1,154,573","$478,717"
1004380020,"$202,838","$188,052","$390,890",,,,"$390,888","$167,090"
1004520002,"$864,854","$4,448,032","$5,312,886",,"$1,186,078",,"$6,706,657","$2,587,060"
1004580001,,"$233,007",233007,,"$617,527",,"$952,868","$168,379"
1005190024,"$1,370,252","$1,160,321","$2,530,573",,,,"$2,530,573","$692,538"
1005190026,"$1,370,252","$1,160,321","$2,530,573",,,,"$2,530,573","$692,538"
1005190027,"$1,370,252","$1,160,321","$2,530,573",,,,"$2,530,573","$692,538"
1005190028,"$1,370,252","$1,160,321","$2,530,573",,,,"$2,530,573","$692,538"
1005590009,"$1,529,832","$6,243,352","$7,773,184",,"$4,465,801",,"$13,620,150","$3,940,179"
1005620044,"$391,127","$1,856,872","$2,247,999","$185,676",,,"$2,450,996","$927,325"
1006140061,"$237,998","$1,581,095","$1,819,093",,"$849,610",,"$2,919,058","$498,126"
1006190033,"$1,050,990","$8,015,230","$9,066,220","$47,400","$886,196",,"$10,218,927","$5,760,278"
1006230038,"$97,056","$153,600","$250,656",,"$342,756",,,"$255,364"
1006340032,"$802,219",,"$802,219",,,,"$840,255","$336,176"
1008750067,,"$1,277,019",1277019,,,,"$1,277,019","$540,093"
1009050023,"$50,084","$378,025","$428,109",,"$25,600",,"$453,709","$128,702"
1009070044,"$491,159",,"$491,159",,,,"$491,159","$74,404"
1009160046,"$267,706","$591,081","$858,787",,,,"$858,787","$255,250"
1009160047,"$267,706","$591,081","$858,787",,,,"$858,787","$255,250"
1009190042,"$27,300","$7,653,319","$7,680,619",,"$168,810",,"$8,272,233","$2,677,737"
1010610013,"$230,252","$1,030,128","$1,260,380",,,,"$1,260,380","$361,100"
1011250001,"$186,297","$1,117,450","$1,303,747","$130,626","$1,114,995",,"$2,769,350","$1,239,806"
1011250062,"$194,929","$843,956","$1,038,885",,"$682,681",,"$1,897,436","$875,612"
1011630043,"$63,786","$199,650","$263,436",,"$398,352",,"$758,529","$179,129"
1012100012,"$289,129","$2,762,485","$3,051,614","$86,980",,,"$4,166,464","$2,206,941"
1012710012,"$194,672","$935,077","$1,129,749",,"$411,045",,"$1,626,583","$606,243"
1013110028,"$487,099","$3,651,121","$4,138,220",,"$595,487",,"$5,060,493","$2,434,934"
1013450034,"$90,081","$231,260","$321,341",,,,"$321,341","$101,869"
1013960111,"$25,200","$187,680","$212,880","$84,023",,,"$287,298","$60,837"
1014050018,,"$110,010",110010,,"$168,400",,"$288,246","$41,001"
1014050120,,"$77,202",77202,,"$363,357",,"$475,926","$112,094"
1014150143,,"$77,775",77775,,,,"$77,775","$48,379"
1014220048,"$944,683","$9,556,486","$10,501,169","$577,035","$1,364,015",,"$12,813,994","$3,865,718"
1014310010,"$62,539","$286,061","$348,600",,,,"$348,600","$94,544"
1014500038,"$107,383","$326,426","$433,809",,,,"$433,809","$150,027"
1014520005,"$200,941","$710,390","$911,331",,"$174,347",,"$1,119,062","$342,117"
1014520038,"$64,093","$713,922","$778,015",,"$134,250",,"$917,975","$260,843"
1014630001,"$55,257","$1,625,635","$1,680,892",,"$943,503",,"$2,649,191","$659,968"
1014630003,"$55,257","$1,625,635","$1,680,892",,"$943,503",,"$2,649,191","$659,968"
1014690008,"$366,585","$50,387","$416,972",,,,"$416,972","$124,234"
1014690013,,"$49,582",49582,,,,"$49,582","$22,483"
1015090006,"$242,605","$2,149,382","$2,391,987","$518,579",,,"$2,947,572","$1,656,608"
1015210007,"$397,700","$2,616,430","$3,014,130","$145,562",,,"$3,222,154","$1,343,180"
1015260033,"$213,580","$70,100","$283,680",,,,"$283,680","$118,810"
1015320043,,"$221,250",221250,,"$67,014",,"$292,179","$74,745"
1015480018,"$7,096","$476,413","$483,509",,,,"$483,535","$51,243"
1015480036,"$1,190,554","$664,277","$1,854,831","$460,450","$511,295",,"$3,002,099","$755,084"
1015800003,,"$326,400",326400,,"$85,371",,"$411,934","$127,176"
3033920065,"$60,235",,"$60,235",,,,"$60,235","$30,038"
3033990020,"$58,074",,"$58,074",,,,"$58,074","$31,988"
1010600033,"$876,185",,"$876,185",,"$413,925",,"$1,294,833","$688,089"
1021330066,"$163,847",,"$163,847",,"$192,073",,"$355,920","$200,852"
1021540069,"$277,354",,"$277,354",,"$156,412",,"$433,766","$125,679"
4019560001,"$449,884",,"$449,884",,"$120,000",,"$569,884","$113,774"
4050410046,,"$43,200",43200,"$30,000",,,"$73,200","$9,630"
4001610033,"$1,031,639",,"$1,031,639",,,,"$1,031,639","$439,221"
4006840043,,"$9,000",9000,,"$99,502",,"$111,416","$10,709"
1002850007,"$242,321",,"$242,321",,"$16,368",,"$258,689","$175,529"
1002990028,"$21,372","$45,600","$66,972",,,,"$66,972","$352,246"
1003100035,"$655,340",,"$655,340",,,,"$655,340","$185,394"
1004940026,"$174,745",,"$174,745",,"$93,247",,"$267,992","$187,390"
1011990025,,"$97,050",97050,,,,"$97,050","$46,651"
1014390049,"$17,988","$402,961","$420,949",,"$319,978",,"$952,534","$182,433"
1015700004,"$234,471","$244,042","$478,513",,"$174,001",,"$689,075","$242,429"
1015700004,"$234,471","$244,042","$478,513",,"$174,001",,"$689,075","$242,429"
3007640037,"$160,505","$145,382","$305,887",,,,"$305,888","$49,789"
3007640039,"$66,704","$216,798","$283,502",,,,"$283,503","$47,677"
3022730013,,"$31,420",31420,,"$56,562",,"$87,982","$21,134"
3031190001,,"$87,600",87600,,"$99,600",,"$187,200","$48,837"
3059510033,"$94,491","$335,862","$430,353",,,,"$430,353","$147,332"
4027570001,"$915,387","$259,201","$1,174,588",,,,"$696,545","$306,947"
4050050042,"$224,218",,"$224,218",,,$502,"$224,720","$67,009"
4084010600,"$3,369,900","$2,187,475","$5,557,375",,,,"$6,021,924","$2,285,649"
4084010600,"$3,369,900","$2,187,475","$5,557,375",,,,"$6,021,924","$2,285,649"
4006500006,,"$41,000",41000,,"$47,151",,"$88,151","$14,687"
4015060006,,"$39,600",39600,"$39,168",,,"$78,768","$64,212"
3002380020,"$274,868",,"$274,868",,,,"$274,868","$87,965"
3059700028,"$314,412",,"$314,412",,,,"$314,412","$139,337"
3067800035,,"$44,116",44116,"$53,200",,,"$97,316","$12,271"
4034070038,,"$58,050",58050,,"$49,488",,"$107,538","$55,716"
4050140076,"$126,360",,"$126,360",,,,"$126,360","$69,001"
4050140077,"$126,361",,"$126,361",,,,"$126,361","$69,338"
4054200009,,"$65,820",65820,,,,"$65,820","$25,536"
4063590008,,"$100,765",100765,,,,"$100,765","$93,227"
3058860003,"$41,400","$176,800","$218,200",,,,"$218,200","$73,330"
2032480116,"$269,880",,"$269,880",,,,"$269,880","$186,304"
5000800019,,"$33,780",33780,,"$32,400",,"$73,980","$19,238"
5010050004,,"$30,636",30636,,"$25,350",,"$55,986","$29,595"
5010050005,,"$15,252",15252,,"$16,800",,"$32,052","$16,280"
1009020017,"$57,817","$269,375","$327,192",,,,"$327,192","$88,491"
1013260029,"$2,670","$547,375","$550,045",,"$176,526",,"$726,571","$167,961"
3011130079,"$92,464","$312,314","$404,778",,,,"$404,778","$152,384"
3060450044,"$125,355",,"$125,355",,"$108,995",,"$243,259","$65,995"
3060520020,,"$43,400",43400,"$19,280","$33,000",,"$95,680","$15,701"
3062130010,,"$30,000",30000,,,,"$30,000","$9,887"
3067810074,"$89,500",,"$89,500",,"$115,400",,"$204,900","$30,720"
3067810074,"$89,500",,"$89,500",,"$115,400",,"$204,900","$30,720"
4094100032,,"$52,200",52200,,"$19,200",,"$71,400","$54,365"
5001750001,,"$13,200",13200,,"$32,400",,"$45,600","$12,094"
5035910008,"$169,791",,"$169,791",,,,"$169,791","$68,224"
5055850040,,"$52,800",52800,"$51,400",,,"$104,200","$12,386"
5077020074,,"$59,760",59760,,"$169,200",,"$228,960","$28,647"
5032920007,,"$17,083",17083,,"$46,800",,"$63,883","$18,373"
5046570021,,"$141,277",141277,,,,"$141,277","$17,033"
5046980019,"$351,964",,"$351,964",,,,"$351,964","$64,678"
5053860076,,"$19,800",19800,"$33,000",,,"$52,800","$13,140"
5062570015,,"$34,075",34075,,"$95,599",,"$129,674","$15,332"
5022610103,,"$24,000",24000,"$18,000","$39,600",,"$112,737","$14,514"
5062570018,,"$9,000",9000,,"$21,828",,"$30,828","$7,261"
5078680001,,"$18,000",18000,,"$50,400",,"$68,400","$11,945"
5002170051,,"$25,025",25025,"$15,900","$31,200",,"$72,125","$17,204"
5002200094,,"$69,800",69800,,,,"$69,800","$32,993"
5007240042,"$151,553",,"$151,553",,,,"$153,580","$46,192"
5009420132,"$134,889",,"$134,889",,,,"$134,889","$55,829"
5041990001,,"$48,035",48035,,"$80,206",,"$128,241","$22,357"
5042090022,,"$86,025",86025,,"$61,482",,"$147,507","$44,900"
5042090025,,"$53,480",53480,,"$18,848",,"$71,960","$33,854"
5042090029,,"$152,575",152575,,"$93,738",,"$246,313","$97,354"
5042090034,,"$71,990",71990,,"$140,277",,"$212,267","$50,706"
5042190045,,"$44,270",44270,,"$29,738",,"$81,900","$25,578"
1007430007,,"$101,057",101057,,,,"$101,057","$48,531"
1007960073,"$29,100",,"$29,100","$366,790","$451,517",,"$919,294","$486,577"
1008650069,"$12,480","$145,404","$157,884",,"$174,792",,"$332,676","$102,771"
1010600025,"$366,545","$381,505","$748,050",,,,,"$504,460"
1010600025,"$366,545","$381,505","$748,050",,,,,"$504,460"
1011400026,"$202,858","$79,050","$281,908","$15,000",,,"$304,708","$97,353"
1011460022,"$227,735","$127,773","$355,508",,,,"$357,002","$117,161"
1012510066,"$15,177","$254,233","$269,410",,,,"$269,410","$131,176"
1013040025,,"$70,384",70384,,"$292,808",,"$363,192","$90,049"
1013510026,,"$224,918",224918,,"$146,069",,"$370,987","$78,048"
1013660047,"$3,835,600",,"$3,835,600",,"$784,983",,"$4,685,342","$1,874,174"
1013960030,"$15,673","$172,740","$188,413",,,"$1,622","$190,035","$116,426"
1015670034,"$56,117","$35,400","$91,517",,,,"$91,517","$29,354"
1022320008,"$213,012","$110,100","$323,112",,"$36,130",,"$424,052","$319,250"
4021360033,"$1,697,137","$292,980","$1,990,117",,,,,"$876,779"
4046780008,,"$21,600",21600,"$9,000","$12,600",,"$43,200","$18,505"
4088680027,"$220,155",,"$220,155",,,,"$220,155","$210,776"
4095710002,,"$22,070",22070,,"$32,800",,"$54,870","$24,334"
4095710003,$843,"$28,440","$29,283",,"$297,945",,"$399,880","$58,042"
4095710003,$843,"$28,440","$29,283",,"$257,945",,"$399,880","$58,042"
4097450022,"$205,538","$74,591","$280,129",,,,"$280,129","$211,588"
1003960028,"$187,988","$24,650","$212,638",,,,"$249,202","$169,460"
1008810064,"$105,234","$159,875","$265,109",,"$169,458",,"$434,567","$133,333"
1008990023,"$35,361","$52,880","$88,241",,,,"$88,241","$38,507"
1010460063,,"$291,600",291600,,"$97,344",,,"$94,354"
1010600031,"$11,759","$231,135","$242,894",,"$269,387",,"$512,281","$96,282"
1010740043,,"$103,283",103283,"$98,004",,,"$275,599","$60,576"
1010780019,"$78,530","$185,351","$263,881",,,,"$263,880","$93,372"
1011850010,"$22,460","$406,923","$429,383",,,,"$429,821","$173,249"
1013450035,"$225,962",,"$225,962",,,,"$225,962","$155,065"
1015190063,"$267,420",,"$267,420",,,,"$267,420","$181,714"
1018480060,"$248,102",,"$248,102",,,,"$248,102","$102,859"
1018480067,"$217,184",,"$217,184",,,,"$217,184","$75,612"
1019430045,"$144,791",,"$144,791",,,,"$144,791","$67,458"
1021390200,"$647,512",,"$647,512","$42,400",,,"$698,364","$343,484"
2032730254,"$206,936",,"$206,936","$29,547",,,"$256,503","$158,122"
2057000087,"$567,486",,"$567,486",,,,"$610,194","$407,037"
3007190033,"$256,177",,"$256,177",,,,"$256,177","$137,395"
3014830059,"$104,592",,"$104,592",,,,"$104,592","$88,041"
3056440025,"$263,658",,"$263,658",,,,"$263,658","$117,949"
3065520068,"$145,404","$53,020","$198,424",,,,"$197,424","$74,266"
3086740072,"$19,524",,"$19,524",,,,"$19,524","$172,292"
3086740072,"$19,524",,"$19,524",,,,"$19,524","$172,292"
1001740007,"$32,451","$591,812","$624,263",,"$405,015",,"$1,044,638","$393,676"
1002270003,,"$193,090",193090,,"$143,950",,"$360,303","$98,231"
1002830054,"$102,624",,"$102,624",,"$36,000",,"$138,624","$77,762"
1002830065,,"$256,800",256800,,,,"$256,800","$51,346"
1004450052,"$25,006","$489,083","$514,089","$50,008",,,"$568,239","$207,244"
1004470053,"$278,035","$531,231","$809,266",,"$126,978","$3,154","$945,710","$302,454"
1005530041,,"$1,364,960",1364960,,,,"$1,383,397","$915,096"
1005760007,$85,"$36,480","$36,565",,"$328,974",,"$387,991","$56,740"
1006180014,"$93,639","$195,520","$289,159",,"$65,000","$6,506","$360,665","$119,908"
1006200080,"$202,161","$819,167","$1,021,328",,,"$2,291","$1,033,217","$175,417"
1007420034,,"$116,712",116712,,"$345,011",,"$476,262","$223,574"
1007430053,"$131,388","$526,336","$657,724",,,,"$657,724","$233,577"
1008030065,"$46,474","$819,526","$866,000",,"$253,645",,"$1,176,632","$220,253"
1010350005,"$101,585","$458,653","$560,238",,,"$4,234","$570,016","$301,136"
1010540036,"$328,620","$759,610","$1,088,230",,"$155,593",,"$1,271,122","$486,744"
1010670018,"$785,707","$458,213","$1,243,920",,,,"$1,243,920","$401,137"
1010670051,"$312,029",,"$312,029",,,,"$312,029","$161,760"
1010760029,,"$267,537",267537,,"$147,000",,"$414,537","$102,447"
1011450052,"$617,299",,"$617,299",,,"$2,467","$644,279","$178,345"
1011850058,"$41,795","$397,598","$439,393",,,,"$439,393","$180,298"
1012270061,"$491,151","$595,000","$1,086,151",,,,"$1,092,951","$524,950"
1012520038,"$330,020","$620,182","$950,202",,,,"$951,678","$587,186"
1013020024,"$151,039",,"$151,039",,"$338,280",,"$489,319","$85,095"
1013960057,,"$132,490",132490,,"$343,392",,"$581,247","$115,302"
1013960158,"$58,770","$102,387","$161,157",,"$472,044",,"$748,836","$224,985"
1014140013,"$54,795","$691,809","$746,604",,"$418,000",,"$1,178,378","$204,641"
1014160012,"$1,484,591",,"$1,484,591",,,,"$1,499,066","$511,886"
1014300045,"$7,937","$207,990","$215,927",,"$403,013",,"$639,851","$200,848"
1014660008,"$407,079","$290,981","$698,060",,,"$3,852","$705,020","$197,033"
1018200017,"$936,979",,"$936,979","$152,997",,,"$1,089,976","$488,057"
1020100063,"$305,954",,"$305,954",,"$74,540",,"$403,620","$204,800"
1021420244,"$890,529",,"$890,529",,"$347,556","$42,847","$1,318,939","$586,962"
1021440013,"$578,397",,"$578,397",,"$42,000","$30,216","$650,613","$318,322"
1021440017,"$568,194",,"$568,194",,"$34,652","$40,951","$643,797","$358,049"
2026410036,"$783,921",,"$783,921",,"$154,687","$13,360","$968,238","$455,307"
2028000072,"$643,869","$65,045","$708,914",,,"$8,072","$716,986","$346,597"
2028760112,"$410,792",,"$410,792",,,"$699,272","$1,114,311","$619,685"
2028790053,"$1,032,956",,"$1,032,956",,,,"$1,046,038","$538,176"
2031470026,"$825,121",,"$825,121",,,"$6,289","$831,410","$366,131"
2031590007,"$778,114",,"$778,114",,"$251,607",,"$1,038,450","$514,207"
2032120021,"$765,675","$49,800","$815,475",,,"$4,388","$819,863","$370,879"
2032140030,"$733,618","$56,948","$790,566",,,"$24,385","$814,951","$550,286"
2032150001,"$501,670","$70,991","$572,661",,,"$6,868","$579,529","$275,464"
2033010010,"$702,588","$113,221","$815,809",,,,"$815,809","$372,997"
2033140065,"$1,481,106",,"$1,481,106",,"$170,000",,"$1,651,106","$1,173,432"
2033190107,"$752,654",,"$752,654",,,"$8,460","$761,114","$475,644"
2033630001,"$784,410",,"$784,410","$11,100",,,"$921,964","$399,789"
2033820050,"$628,326",,"$628,326",,,,"$628,326","$505,978"
2033850060,"$1,077,286",,"$1,077,286",,,,"$1,077,286","$627,369"
2037380001,"$540,308",,"$540,308",,,"$257,654","$801,489","$496,481"
1022270001,"$242,498","$112,875","$355,373",,"$351,046",,"$859,262","$405,797"
1022220025,"$719,788","$166,113","$885,901",,"$745,832","$227,947","$1,921,329","$850,225"
1022220017,"$802,531","$148,226","$950,757",,"$594,978",,"$1,843,311","$864,515"
1022220007,"$809,437","$91,573","$901,010",,"$451,624","$94,838","$1,447,472","$865,007"
1021630032,"$279,261","$382,131","$661,392",,"$303,453",,"$1,007,179","$884,333"
1021580040,"$276,734","$158,005","$434,739",,"$286,810","$89,796","$825,215","$590,010"
1021530080,"$574,230","$20,210","$594,440",,"$255,200","$156,569","$1,018,927","$635,993"
1021440053,"$391,212","$225,105","$616,317",,"$439,131","$97,829","$1,183,091","$742,442"
1021420237,"$396,554","$246,290","$642,844",,"$426,142","$177,795","$1,329,076","$836,853"
1021420109,"$605,777","$129,740","$735,517",,"$409,638","$87,501","$1,322,529","$651,977"
1021370110,"$483,924","$431,160","$915,084",,"$570,562","$52,666","$1,570,127","$627,782"
1021370032,"$208,776","$97,313","$306,089",,"$233,375","$192,013","$757,538","$603,142"
1021330060,"$146,693","$73,325","$220,018",,"$147,217",,"$398,937","$173,854"
1021280001,"$106,546","$178,756","$285,302",,"$181,966","$38,054","$516,388","$260,594"
1021200008,"$382,649","$339,352","$722,001",,"$188,291",,"$931,364","$609,596"
1021220069,"$388,523","$121,825","$510,348",,"$312,424","$78,930","$917,465","$502,272"
1020960034,"$466,138","$383,673","$849,811",,"$309,632","$141,747","$1,370,547","$540,227"
1020020050,"$415,070","$13,700","$428,770",,"$724,706","$9,443","$1,239,353","$1,108,763"
1018770022,"$313,944","$466,608","$780,552",,,,"$780,552","$654,038"
3024470008,"$269,998","$181,344","$451,342",,"$62,000",,"$513,342","$295,242"
1002800038,"$10,632",,"$10,632",,"$450,204",,"$637,816","$139,194"
4116010001,"$401,202","$36,815","$438,017",,,"$16,962","$529,649","$240,847"
4093350018,"$537,120","$41,691","$578,811",,,"$30,365","$609,576","$363,533"
4092300074,"$586,949","$402,980","$989,929",,,"$25,306","$1,031,988","$454,347"
4088470357,"$582,264","$162,994","$745,258",,,"$30,730","$794,844","$332,769"
4068090001,"$8,354,502",,"$8,354,502",,"$218,666","$37,444","$9,059,390","$4,642,363"
4052630010,"$812,719",,"$812,719",,,"$9,330","$826,849","$420,857"
4051010033,"$1,125,389","$112,921","$1,238,310",,,"$11,955","$1,255,965","$552,198"
4050490038,"$814,286","$35,700","$849,986",,"$15,000","$21,244","$907,567","$455,021"
4049950001,"$3,382,974","$66,585","$3,449,559",,"$55,394","$21,115","$3,619,877","$1,282,776"
4049570023,"$688,194","$56,072","$744,266",,,"$31,882","$777,748","$411,554"
4049560013,"$1,309,701","$50,669","$1,360,370",,,"$24,060","$1,390,015","$657,597"
4031680013,"$1,324,052","$1,023,790","$2,347,842",,"$126,190","$54,592","$2,646,956","$1,079,703"
4021130034,"$1,645,223","$595,890","$2,241,113",,,"$151,057","$2,474,911","$1,048,588"
4019830052,"$569,354",,"$569,354",,,"$81,319","$696,194","$344,496"
4015640058,"$1,473,195","$194,412","$1,667,607",,,"$75,809","$1,841,119","$749,981"
4015540001,"$1,002,554",,"$1,002,554",,,"$18,866","$1,060,907","$420,595"
4015170021,"$1,026,034","$117,864","$1,143,898",,"$20,959","$33,059","$1,265,896","$509,431"
4014760058,"$690,628","$179,484","$870,112",,,"$23,504","$900,892","$393,195"
4014600040,"$816,984",,"$816,984",,"$3,200","$21,965","$884,337","$375,468"
4014440006,"$667,542",,"$667,542",,,,"$680,497","$350,873"
4014440001,"$488,481","$147,407","$635,888",,,"$11,592","$666,377","$334,935"
4014220024,"$1,149,848","$143,273","$1,293,121",,,"$22,870","$1,318,545","$481,885"
4014220024,"$1,149,848","$143,273","$1,293,121",,,"$22,870","$1,318,545","$481,885"
4013120035,"$800,221","$364,595","$1,164,816",,,"$12,502","$1,181,935","$470,983"
4012920063,"$1,007,893",,"$1,007,893",,,"$27,823","$1,075,269","$482,201"
4012910025,"$555,956",,"$555,956",,,"$8,555","$569,021","$247,569"
4012910020,"$611,660",,"$611,660",,,"$4,573","$620,138","$250,778"
4012910006,"$527,851","$181,577","$709,428",,"$286,965","$11,884","$1,039,107","$340,696"
4012460035,"$598,955","$367,685","$966,640",,,"$10,623","$991,450","$399,536"
4007220038,"$740,969","$509,065","$1,250,034",,"$92,287","$7,105","$1,417,340","$445,488"
4006120057,"$603,165","$412,545","$1,015,710",,,"$19,402","$1,044,130","$397,624"
4006120053,"$553,198","$408,055","$961,253",,,"$34,276","$1,035,432","$404,020"
4006060029,"$846,667","$307,513","$1,154,180",,,"$4,018","$1,270,823","$513,382"
4003870012,"$601,745","$74,802","$676,547",,,"$6,612","$711,086","$360,669"
4002000030,"$620,370","$154,238","$774,608",,"$90,794","$26,050","$930,023","$493,013"
4001910035,"$990,186","$132,468","$1,122,654",,,"$17,735","$1,141,139","$480,502"
4001910035,"$990,186","$132,468","$1,122,654",,,"$17,735","$1,141,139","$480,502"
4001900025,"$934,215","$428,514","$1,362,729",,,"$14,605","$1,391,961","$472,799"
4001890014,"$756,161","$560,162","$1,316,323",,,"$16,986","$1,357,592","$513,128"
4001700021,"$855,977","$274,825","$1,130,802",,,"$17,874","$1,154,372","$356,775"
4001710027,"$1,634,844",,"$1,634,844",,"$72,048","$6,495","$1,722,222","$676,143"
4001700016,"$819,318","$329,625","$1,148,943",,,"$4,982","$1,158,813","$392,213"
4001680001,"$1,242,906","$820,912","$2,063,818",,"$46,884","$35,527","$2,193,281","$781,184"
4001570005,"$714,055","$61,726","$775,781",,,"$3,826","$780,307","$357,135"
4001340001,"$826,500","$79,716","$906,216",,"$53,298","$10,816","$972,680","$478,234"
4001290070,"$735,429","$284,489","$1,019,918",,,"$29,242","$1,067,288","$412,271"
