BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Gov't Rent Subsidies Income,Total Real Estate Income,Total Expenses
1015270015,,"$335,559",335559,,,,"$335,559","$164,139"
1015280011,"$308,142",,"$308,142",,,,"$290,492","$64,233"
1015640017,"$340,253",,"$340,253",,,,"$340,253","$144,401"
1002300045,,"$97,212",97212,,,,"$97,212","$61,800"
1002810016,"$172,463",,"$172,463","$33,200","$144,223",,"$349,886","$285,196"
1003100031,"$71,697","$119,013","$190,710",,"$28,050",,"$218,760","$139,884"
1004340051,"$169,822","$1,325,572","$1,495,394",,"$9,500",,"$1,542,808","$606,854"
1006220024,"$99,115","$220,590","$319,705",,,,"$319,705","$149,078"
1011200160,"$24,567","$259,194","$283,761",,"$146,824",,"$430,585","$200,661"
1011480064,"$510,230",,"$510,230",,,,"$510,230","$390,012"
1012000008,"$325,921",,"$325,921",,,,"$325,921","$210,802"
1012110009,"$179,798",,"$179,798",,,,"$179,798","$60,000"
1012110010,"$350,920",,"$350,920",,,,"$350,920","$187,104"
1012530064,"$707,605",,"$707,605",,,,"$707,605","$217,781"
1014410023,,"$751,592",751592,,"$285,285",,"$1,123,012","$228,205"
1016330033,"$68,032","$175,687","$243,719",,"$159,114",,"$486,912","$133,231"
1018930009,"$73,766","$160,152","$233,918",,,,"$234,289","$150,752"
1005210075,"$941,778",,"$941,778",,"$219,228",,"$1,161,006","$167,270"
1007430009,,"$214,265",214265,,,,"$214,265","$42,346"
1015310038,"$265,106","$407,372","$672,478",,"$220,566",,"$897,274","$319,525"
1015810001,"$16,920","$353,696","$370,616",,"$250,069",,"$799,639","$191,753"
1018810035,"$65,709","$1,098,306","$1,164,015",,"$312,718",,"$1,543,636","$612,070"
1010380026,"$266,343",,"$266,343",,,,"$266,343","$127,670"
3004530035,"$250,751",,"$250,751",,,,"$250,751","$101,648"
3006490017,"$110,462",,"$110,462",,,,"$110,462","$95,975"
3011120089,"$84,240",,"$84,240",,,,"$84,240","$66,425"
3016080052,"$185,200",,"$185,200",,,,"$185,200","$110,168"
3017510025,"$103,109",,"$103,109","$700,522","$178,054",,"$1,181,988","$933,129"
3066300001,"$378,775",,"$378,775",,,,"$378,775","$264,420"
1003890022,"$135,435","$727,945","$863,380",,"$75,444",,"$938,824","$319,971"
1004290045,"$150,828","$588,713","$739,541",,"$106,021",,"$861,976","$328,889"
1005680016,"$20,812","$256,801","$277,613",,,,"$277,613","$65,006"
1006260001,"$190,838","$652,299","$843,137","$34,800",,,"$877,937","$141,575"
1010360009,"$18,096","$453,507","$471,603",,,,"$471,603","$230,111"
1014520035,"$45,082","$402,957","$448,039",,,,"$448,039","$168,203"
1018480006,"$4,375","$312,324","$316,699",,,,"$316,699","$162,140"
1019530057,"$36,252","$282,958","$319,210",,,,"$319,210","$156,679"
1019540046,"$166,698","$560,219","$726,917",,,,"$726,917","$293,745"
1005680017,"$14,820","$167,346","$182,166",,,,"$182,166","$21,547"
1007220050,"$321,110",,"$321,110",,,,"$321,110","$350,504"
1019580060,"$23,940","$344,517","$368,457",,,,"$368,457","$170,452"
1019880114,"$135,695","$345,309","$481,004",,,,"$481,004","$264,672"
1022390021,"$1,043,359",,"$1,043,359",,,,"$1,067,559","$342,674"
2028870164,"$118,155",,"$118,155",,,,"$118,155","$106,147"
2031740026,"$264,743",,"$264,743",,,,"$265,649","$138,266"
2031740028,"$229,688",,"$229,688",,"$83,872",,"$323,694","$147,310"
2033550001,"$363,648",,"$363,648",,,,"$365,133","$153,573"
2038140001,"$2,014,983",,"$2,014,983",,,,"$2,053,397","$1,003,384"
2028520032,"$93,480",,"$93,480",,,,"$93,480","$30,304"
2029390100,"$277,931",,"$277,931",,,,"$277,931","$150,632"
2040750031,"$659,342",,"$659,342",,,,"$659,342","$261,507"
2041070034,"$78,950",,"$78,950",,"$117,738",,"$196,688","$61,166"
2041760034,"$912,885",,"$912,885",,,,"$912,885","$381,242"
2042380011,"$579,871",,"$579,871",,,,"$579,871","$267,695"
2044240022,"$608,896",,"$608,896",,,"$78,713","$711,994","$151,124"
2050660053,"$48,043",,"$48,043",,,,"$48,043","$39,582"
1001740004,"$61,528",,"$61,528",,"$312,187",,"$373,715","$176,051"
1002830037,,"$112,145",112145,,"$131,684",,"$243,830","$110,501"
1003480005,"$61,984","$407,990","$469,974",,,,"$471,598","$145,594"
1004110058,,"$1,347,148",1347148,,"$717,866",,"$2,173,407","$379,786"
1005610003,,"$363,793",363793,,,,"$613,393","$32,322"
1005880058,"$90,326","$313,225","$403,551",,"$595,812",,"$1,054,771","$351,899"
1007650056,"$23,365","$376,748","$400,113",,,,"$400,113","$147,670"
1008890063,"$56,657","$290,271","$346,928",,,,"$677,797","$93,838"
1009070045,"$149,777","$374,621","$524,398",,,,"$524,398","$134,587"
1010250019,"$45,161","$400,097","$445,258",,"$364,285",,"$864,515","$320,430"
1010550057,"$51,497","$281,839","$333,336",,,,"$333,336","$143,974"
1010550058,"$39,328","$286,118","$325,446",,,,"$325,346","$149,006"
1010570025,"$59,703","$469,124","$528,827",,,,"$569,027","$237,743"
1014140007,"$53,572","$128,597","$182,169",,"$231,990",,"$414,159","$60,962"
1015470032,"$225,868","$1,897,235","$2,123,103",,,,"$2,129,756","$575,347"
1016240021,"$321,071",,"$321,071",,,,"$321,071","$244,777"
1016370042,,"$134,049",134049,,"$51,682",,"$185,731","$71,074"
1014140007,"$53,572","$128,597","$182,169",,"$231,990",,"$414,159","$60,962"
1015470032,"$225,868","$1,897,235","$2,123,103",,,,"$2,129,756","$575,347"
1016240021,"$321,071",,"$321,071",,,,"$321,071","$244,777"
1016370042,,"$134,049",134049,,"$51,682",,"$185,731","$71,074"
1020750056,"$158,296","$484,617","$642,913",,,,"$642,913","$273,395"
1020760007,"$94,908","$231,228","$326,136",,,,"$326,136","$166,339"
1021410013,"$501,942",,"$501,942",,"$78,620",,"$580,562","$263,122"
1021420045,"$750,564",,"$750,564",,,"$116,940","$875,001","$338,517"
4014880036,"$216,881",,"$216,881",,,,"$216,881","$152,275"
4033220001,"$1,218,098",,"$1,218,098",,,"$103,889","$1,330,184","$763,703"
4033420022,"$324,585","$119,869","$444,454","$30,450",,,"$529,935","$226,168"
4033810054,,"$42,800",42800,,"$20,400",,"$63,200","$32,199"
4034810014,,"$18,000",18000,,"$67,075",,"$85,075","$41,402"
4051810006,"$763,944",,"$763,944",,,,"$770,399","$371,204"
4092260042,"$493,011",,"$493,011",,,,"$493,011","$175,738"
4095380003,,"$34,200",34200,,"$90,500",,"$124,700","$25,053"
4095590045,"$389,660",,"$389,660",,,,"$421,928","$199,520"
3007320050,"$347,145",,"$347,145",,,,"$347,145","$168,685"
3007320053,"$369,000",,"$369,000",,,,"$369,000","$161,362"
3011010043,"$245,749",,"$245,749",,,,"$245,749","$67,595"
3039310064,,"$18,000",18000,,"$20,400",,"$38,400","$24,883"
3050530033,"$274,919",,"$274,919","$17,820",,,"$293,688","$133,952"
3052250066,"$322,553",,"$322,553",,,,"$326,566","$126,728"
3055680036,,"$22,200",22200,,"$642,278",,"$664,478","$127,866"
3057760030,"$174,744",,"$174,744",,,,"$174,744","$102,684"
3059510031,"$291,276",,"$291,276",,,,"$291,276","$70,188"
3059620039,"$337,310",,"$337,310",,,,"$337,310","$132,104"
3059810053,"$85,100",,"$85,100",,,,"$85,100","$53,800"
