BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses
1015320016,$0,"$2,755,909","$2,755,909",$0,"$996,808",$0,$0,"$3,932,496","$15,000","$895,017"
1015350031,$0,"$842,366","$842,366",$0,$0,$0,$0,"$842,366","$8,275","$143,459"
1015400001,$0,"$313,898","$313,898",$0,$0,$0,$0,"$313,898","$28,262","$157,810"
1015400002,$0,"$119,810","$119,810",$0,"$13,200","$4,000",$0,"$137,010",$0,"$92,638"
1015400003,$0,"$119,890","$119,890",$0,"$22,825",$0,$0,"$142,715",$0,"$87,639"
1015400046,$0,"$122,940","$122,940",$0,"$27,200",$0,$0,"$150,140",$0,"$103,600"
1015400047,$0,"$119,570","$119,570",$0,"$24,075",$0,$0,"$143,645",$0,"$88,345"
1015431007,$0,"$64,800","$64,800",$0,$0,$0,$0,"$64,800",$0,"$39,114"
1015450022,$0,"$398,109","$398,109",$0,$0,$0,$0,"$398,109",$0,"$204,371"
1015470001,$0,"$339,140","$339,140",$0,"$209,370",$0,$0,"$548,510",$0,"$122,247"
1015470045,$0,"$433,640","$433,640",$0,$0,$0,$0,"$433,640",$0,"$137,849"
1015480009,$0,"$405,712","$405,712",$0,"$2,922",$0,$0,"$415,833",$0,"$154,383"
1015480010,$0,"$417,652","$417,652",$0,"$2,810",$0,$0,"$423,389",$0,"$150,929"
1015490029,$0,"$55,400","$55,400",$0,"$37,000",$0,$0,"$92,400",$0,"$129,900"
1015490030,$0,"$208,600","$208,600",$0,"$36,300",$0,$0,"$244,900",$0,"$93,320"
1015530027,$0,"$5,412,220","$5,412,220",$0,"$572,016",$0,$0,"$5,984,236",$0,"$1,202,388"
1015540011,$0,"$676,584","$676,584",$0,"$4,505",$0,$0,"$683,668",$0,"$214,232"
1015540043,$0,"$674,477","$674,477",$0,"$1,780",$0,$0,"$677,602",$0,"$169,243"
1015540045,$0,"$434,276","$434,276",$0,$0,$0,$0,"$439,007",$0,"$124,105"
1015550001,$0,"$632,086","$632,086",$0,"$297,545",$0,$0,"$973,047","$26,895","$251,195"
1015550040,$0,"$314,563","$314,563",$0,$0,$0,$0,"$314,563",$0,"$141,009"
1015560049,$0,"$52,337","$52,337",$0,"$157,684",$0,$0,"$210,021","$63,025","$117,772"
1015570005,$0,"$964,622","$964,622",$0,$0,$0,"$1,735","$971,557","$5,836","$254,148"
1015580020,$0,"$459,063","$459,063",$0,$0,$0,$0,"$459,063",$0,"$98,728"
1015590048,$0,"$102,121","$102,121","$86,400",$0,$0,$0,"$188,521",$0,"$53,020"
1015600010,$0,"$569,181","$569,181",$0,$0,$0,$0,"$569,181","$6,809","$266,045"
1015600025,$0,"$106,500","$106,500",$0,"$118,570",$0,$0,"$236,806",$0,"$58,632"
1015600031,$0,"$1,243,771","$1,243,771",$0,$0,$0,$0,"$1,288,404",$0,"$339,585"
1015600039,$0,"$341,840","$341,840",$0,$0,$0,$0,"$343,050",$0,"$134,988"
1015610001,$0,"$4,251,915","$4,251,915",$0,"$372,500",$0,$0,"$4,741,220",$0,"$2,324,306"
1015620003,$0,"$283,451","$283,451",$0,"$87,531",$0,$0,"$373,238",$0,"$76,781"
1015620011,$0,"$259,519","$259,519",$0,$0,$0,$0,"$259,519","$10,255","$102,771"
1015630008,$0,"$315,770","$315,770",$0,$0,$0,$0,"$315,770",$0,"$103,089"
1015630020,$0,"$1,471,100","$1,471,100",$0,"$53,970",$0,$0,"$1,525,070",$0,"$455,943"
1015630037,$0,"$363,362","$363,362",$0,"$2,585",$0,$0,"$365,947",$0,"$154,087"
1015670007,$0,"$421,101","$421,101",$0,$0,$0,$0,"$438,017","$3,548","$140,550"
1015670031,$0,"$828,141","$828,141",$0,"$5,733",$0,$0,"$841,583",$0,"$228,559"
1015670121,$0,"$24,000","$24,000",$0,$0,$0,$0,"$24,000",$0,"$37,314"
1015700011,$0,"$347,692","$347,692",$0,$0,$0,$0,"$347,692",$0,"$103,669"
1015700015,$0,"$912,909","$912,909",$0,"$4,525",$0,$0,"$944,107",$0,"$240,976"
1015700021,$0,"$10,055,184","$10,055,184","$176,259","$9,840",$0,$0,"$10,910,330","$382,157","$3,617,736"
1015710022,$0,"$12,919,051","$12,919,051","$353,234","$12,360","$12,000",$0,"$14,120,328","$492,596","$4,564,877"
1015770044,$0,"$398,421","$398,421",$0,$0,$0,$0,"$398,421",$0,"$181,792"
1015780008,$0,"$122,297","$122,297",$0,$0,$0,$0,"$122,297",$0,"$59,027"
1015790002,$0,"$718,359","$718,359",$0,$0,$0,$0,"$718,359","$11,455","$236,433"
1015800127,$0,"$210,735","$210,735",$0,"$5,000",$0,$0,"$217,489","$2,943","$179,656"
1015820045,$0,"$519,720","$519,720",$0,"$2,880",$0,$0,"$530,363",$0,"$143,259"
1016030020,$0,"$269,228","$269,228",$0,"$249,075",$0,$0,"$541,644",$0,"$225,430"
1016030050,$0,"$117,773","$117,773",$0,"$166,663",$0,$0,"$293,202",$0,"$78,934"
1016440030,$0,"$24,001","$24,001",$0,"$69,380",$0,$0,"$93,381",$0,"$41,504"
1016650030,$0,"$64,200","$64,200",$0,"$114,048",$0,$0,"$189,048",$0,"$115,271"
1016890030,$0,"$31,200","$31,200",$0,$0,$0,$0,"$31,200","$1,200","$22,900"
1017080045,$0,"$290,276","$290,276",$0,$0,$0,$0,"$290,276",$0,"$202,564"
1017290037,$0,"$20,300","$20,300",$0,$0,$0,$0,"$20,300",$0,"$20,853"
1017550020,$0,"$72,936","$72,936",$0,$0,$0,"$179,064","$252,000","$13,393","$155,807"
1017550050,$0,"$130,284","$130,284",$0,$0,$0,"$329,316","$459,600","$34,822","$293,868"
1017830003,$0,"$178,850","$178,850",$0,$0,$0,$0,"$178,850",$0,"$66,908"
1018410006,$0,"$293,292","$293,292",$0,$0,$0,$0,"$293,292",$0,"$129,981"
1018810003,$0,"$514,826","$514,826",$0,$0,$0,$0,"$514,826",$0,"$919,020"
1018810004,$0,"$514,826","$514,826",$0,"$373,671",$0,$0,"$888,497",$0,"$919,020"
1018830059,$0,"$2,056,192","$2,056,192",$0,"$639,659",$0,$0,"$2,780,420",$0,"$1,274,580"
1018840053,$0,"$20,004","$20,004",$0,$0,$0,$0,"$20,004",$0,"$16,803"
1018890125,$0,"$145,022","$145,022",$0,$0,$0,$0,"$145,022",$0,"$403,657"
1018950012,$0,"$1,249,048","$1,249,048",$0,$0,$0,$0,"$1,249,048",$0,"$189,823"
1019040130,$0,"$40,800","$40,800",$0,$0,"$1,200",$0,"$42,000","$1,000","$44,184"
1019060004,$0,"$356,192","$356,192",$0,$0,$0,$0,"$356,192","$200,000","$495,878"
1019160033,$0,"$750,360","$750,360",$0,$0,$0,$0,"$751,317","$93,000","$826,581"
1019240032,$0,"$196,357","$196,357",$0,"$16,800",$0,$0,"$214,333","$1,000","$69,045"
1019540029,$0,"$188,320","$188,320",$0,$0,$0,$0,"$188,320",$0,"$92,078"
1019540030,$0,"$130,616","$130,616",$0,$0,$0,$0,"$130,616",$0,"$60,938"
1019620001,$0,"$551,704","$551,704",$0,"$131,132","$32,658",$0,"$722,994",$0,"$346,187"
1019630030,$0,"$2,223,781","$2,223,781",$0,"$208,224",$0,$0,"$2,498,851",$0,"$1,481,057"
1019760036,$0,"$676,971","$676,971",$0,"$37,107",$0,$0,"$723,498",$0,"$330,129"
1020020017,$0,"$184,228","$184,228",$0,$0,$0,$0,"$184,228",$0,"$127,866"
1020300004,$0,"$273,600","$273,600",$0,"$49,200",$0,$0,"$322,800",$0,"$132,232"
1020410048,$0,"$189,480","$189,480",$0,"$46,584",$0,$0,"$236,064",$0,"$81,809"
1020890029,$0,"$60,000","$60,000",$0,$0,$0,$0,"$60,000",$0,"$16,516"
1020980013,$0,"$2,396,797","$2,396,797",$0,$0,$0,$0,"$2,442,977","$25,369","$2,108,453"
1021110001,$0,"$1,581,764","$1,581,764",$0,$0,$0,$0,"$1,627,867","$282,691","$1,523,798"
1021680009,$0,"$165,737","$165,737",$0,$0,$0,$0,"$165,737",$0,"$112,608"
1021720030,$0,"$742,762","$742,762",$0,$0,$0,$0,"$742,762",$0,"$878,142"
1021720032,$0,"$742,762","$742,762",$0,$0,$0,$0,"$742,762",$0,"$878,142"
1021750092,$0,"$421,804","$421,804",$0,$0,$0,$0,"$421,804",$0,"$522,558"
1021750170,$0,"$623,374","$623,374",$0,$0,$0,$0,"$623,374",$0,"$299,754"
1021750192,$0,"$479,796","$479,796",$0,$0,$0,$0,"$479,796",$0,"$258,976"
1021760149,$0,"$158,541","$158,541",$0,$0,$0,$0,"$158,541",$0,"$145,450"
2023170013,$0,"$10,800","$10,800","$45,295",$0,$0,$0,"$56,095",$0,"$21,080"
2024600025,$0,"$69,500","$69,500","$167,435",$0,$0,$0,"$354,020",$0,"$15,532"
2026270062,$0,"$59,880","$59,880",$0,$0,$0,$0,"$59,880",$0,"$61,624"
2026750001,$0,"$64,720","$64,720",$0,"$36,500",$0,$0,"$101,220",$0,"$98,080"
2027060063,$0,"$46,080","$46,080",$0,$0,$0,$0,"$46,080",$0,"$40,160"
2027440001,$0,"$394,658","$394,658","$61,992",$0,$0,$0,"$680,100",$0,"$373,039"
2027570042,$0,"$158,364","$158,364",$0,$0,$0,$0,"$158,364","$4,218","$120,536"
2027610154,$0,"$56,573","$56,573",$0,$0,$0,"$166,305","$224,159",$0,"$197,938"
2028310048,$0,"$451,102","$451,102",$0,"$247,800",$0,$0,"$698,902","$6,569","$381,497"
2028770290,$0,"$413,988","$413,988",$0,"$14,400",$0,$0,"$428,388",$0,"$250,148"
2028920024,$0,"$803,283","$803,283",$0,$0,$0,$0,"$803,283",$0,"$413,904"
2029490001,$0,"$31,800","$31,800",$0,$0,"$9,600",$0,"$41,400",$0,"$73,981"
2030650057,$0,"$21,000","$21,000",$0,"$14,000",$0,$0,"$35,000",$0,"$32,663"
2030890001,$0,"$390,652","$390,652",$0,$0,$0,$0,"$390,652",$0,"$217,300"
2030900027,$0,"$25,626","$25,626",$0,"$22,351",$0,$0,"$47,977",$0,"$62,793"
2030910020,$0,"$9,000","$9,000",$0,"$79,884",$0,$0,"$88,884",$0,"$30,113"
2031220008,$0,"$187,012","$187,012",$0,$0,$0,$0,"$187,012","$5,321","$136,708"
2031520098,$0,"$150,000","$150,000",$0,$0,$0,$0,"$150,000",$0,"$38,503"
2032340037,$0,"$584,184","$584,184",$0,$0,$0,$0,"$614,686","$1,660","$500,472"
2032370108,$0,"$356,114","$356,114",$0,$0,$0,$0,"$356,114",$0,"$147,062"
2032490206,$0,"$286,370","$286,370",$0,$0,$0,$0,"$286,370",$0,"$182,446"
2032760005,$0,"$996,969","$996,969",$0,$0,$0,$0,"$996,969",$0,"$444,708"
2032800065,$0,"$63,516","$63,516",$0,$0,$0,$0,"$63,516",$0,"$16,461"
2033290040,$0,"$355,055","$355,055",$0,$0,$0,$0,"$355,055",$0,"$219,577"
2033770047,$0,"$122,328","$122,328",$0,$0,$0,$0,"$122,328",$0,"$54,670"
2033770059,$0,"$26,133","$26,133",$0,"$71,100",$0,$0,"$97,233",$0,"$37,571"
2033950001,$0,"$32,000","$32,000",$0,$0,$0,$0,"$32,000",$0,"$5,740"
2037580054,$0,"$46,200","$46,200",$0,"$12,000",$0,$0,"$58,200",$0,"$49,180"
2038120040,$0,"$25,900","$25,900",$0,"$49,550",$0,$0,"$75,450",$0,"$35,639"
2038770001,$0,"$24,000","$24,000",$0,"$308,157",$0,$0,"$428,157",$0,"$447,674"
2039370133,$0,"$30,120","$30,120",$0,"$57,600",$0,$0,"$87,720",$0,"$39,194"
2041280033,$0,"$27,000","$27,000",$0,"$144,000",$0,$0,"$171,000","$16,000","$162,000"
