BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses
1018460040,"$215,458.00",$0.00,"$215,458.00",$0.00,$0.00,$0.00,"$215,458.00",$0.00,"$135,754.00"
3065620041,"$215,419.00",$0.00,"$215,419.00",$0.00,$0.00,$0.00,"$215,419.00",$0.00,"$114,214.00"
2030780033,"$215,377.00",$0.00,"$215,377.00",$0.00,$0.00,$0.00,"$215,377.00",$0.00,"$106,633.00"
1019180036,"$215,350.00",$0.00,"$215,350.00",$0.00,"$89,403.00",$0.00,"$609,506.00",$0.00,"$141,401.00"
2032180009,"$215,333.00",$0.00,"$215,333.00",$0.00,$0.00,$0.00,"$217,533.00",$0.00,"$146,604.00"
3051510021,"$215,329.00",$0.00,"$215,329.00",$0.00,$0.00,$0.00,"$215,329.00",$0.00,"$80,986.00"
2027660012,"$215,066.00",$0.00,"$215,066.00",$0.00,$0.00,$0.00,"$215,066.00",$0.00,"$164,005.00"
3059510036,"$215,000.00","$8,800.00","$223,800.00",$0.00,$0.00,$0.00,"$223,800.00",$0.00,"$50,086.00"
1008900011,"$214,892.00","$7,119,808.00","$7,334,700.00",$0.00,"$829,392.00",$0.00,"$8,301,310.00","$190,593.00","$2,276,855.00"
3024500031,"$214,788.00",$0.00,"$214,788.00",$0.00,"$23,700.00",$0.00,"$238,488.00",$0.00,"$178,765.00"
3013990034,"$214,765.00",$0.00,"$214,765.00",$0.00,$0.00,"$623,813.00","$855,116.00",$0.00,"$634,812.00"
1019680029,"$214,726.00",$0.00,"$214,726.00",$0.00,"$20,799.00",$0.00,"$235,525.00",$0.00,"$129,650.00"
1020710025,"$214,541.00","$131,701.00","$346,242.00",$0.00,$0.00,$0.00,"$346,242.00","$64,000.00","$302,738.00"
4006250012,"$214,522.00",$0.00,"$214,522.00",$0.00,$0.00,$0.00,"$214,522.00",$0.00,"$51,603.00"
