BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1,Total Expenses
1003500046,"$14,616",$0,"$14,616",$0,$0,$0,$0,"$14,616",$0,"$54,230"
1013970012,"$14,557","$153,940","$168,497",$0,$0,$0,$0,"$168,497",$0,"$43,620"
1013470102,"$14,523","$51,150","$65,673",$0,"$84,515",$0,$0,"$151,851",$0,"$35,300"
1016670033,"$14,520",$0,"$14,520",$0,$0,$0,$0,"$14,520",$0,"$13,974"
1015290025,"$14,436",$0,"$14,436",$0,$0,"$96,000",$0,"$110,436",$0,"$32,623"
2029090010,"$14,400",$0,"$14,400",$0,$0,$0,$0,"$14,400",$0,"$8,637"
2030410045,"$14,400",$0,"$14,400",$0,$0,$0,$0,"$14,400",$0,"$4,619"
4087710001,"$14,400","$14,304","$28,704","$56,470",$0,$0,$0,"$85,174",$0,"$25,962"
1004560027,"$14,356",$0,"$14,356",$0,"$59,704",$0,$0,"$74,060",$0,"$48,925"
1004340025,"$14,335","$145,062","$159,397",$0,"$49,600",$0,$0,"$209,662",$0,"$164,943"
1008170055,"$14,280","$202,212","$216,492",$0,$0,$0,$0,"$216,492",$0,"$119,904"
1012230124,"$14,136","$148,272","$162,408",$0,$0,$0,$0,"$162,700",$200,"$61,056"
1015530014,"$14,089","$212,519","$226,608",$0,$0,$0,$0,"$226,608",$0,"$141,065"
2048340033,"$13,955","$595,444","$609,399",$0,$0,$0,$0,"$609,399",$0,"$461,886"
1008670016,"$13,919","$169,579","$183,498",$0,"$278,400",$0,$0,"$461,898","$12,315","$559,453"
1013870025,"$13,887",$0,"$13,887",$0,"$402,367",$0,$0,"$460,471",$0,"$115,016"
3062790047,"$13,875",$0,"$13,875","$20,258",$0,$0,$0,"$34,133",$0,"$22,557"
1015440044,"$13,862","$413,880","$427,742","$23,760",$0,$0,$0,"$451,502",$0,"$120,600"
1007800013,"$13,860",$0,"$13,860",$0,$0,$0,$0,"$709,587",$0,"$266,677"
1011460147,"$13,808","$228,018","$241,826",$0,$0,$0,$0,"$241,826",$0,"$51,958"
4006620031,"$13,800",$0,"$13,800",$0,"$71,615",$0,$0,"$85,415",$0,"$46,879"
4014820077,"$13,800",$0,"$13,800",$0,$0,$0,$0,"$37,800",$0,"$22,196"
3067450008,"$13,598","$4,004","$17,602",$0,"$15,114",$0,$0,"$32,716",$689,"$26,495"
1003040001,"$13,596","$85,124","$98,720","$58,100","$270,368",$0,$0,"$427,188",$0,"$374,568"
1015350013,"$13,590","$128,480","$142,070",$0,"$34,400",$0,$0,"$176,470","$25,357","$102,453"
1011630052,"$13,549","$111,904","$125,453",$0,"$172,856",$0,$0,"$298,309","$1,258","$64,824"
1015691102,"$13,514",$0,"$13,514",$0,"$58,000",$0,$0,"$71,514",$0,"$30,478"
1011540202,"$13,510","$749,551","$763,061",$0,$0,$0,$0,"$763,061",$0,"$527,865"
3008850005,"$13,502","$29,600","$43,102",$0,"$45,688",$0,$0,"$88,790",$0,"$99,990"
4008070066,"$13,500","$25,200","$38,700",$0,$0,$0,$0,"$38,700",$0,"$12,197"
1013890009,"$13,472","$109,316","$122,788",$0,$0,$0,$0,"$122,788","$1,800","$38,759"
1008580034,"$13,463","$42,000","$55,463","$30,525","$30,000",$0,$0,"$115,988",$0,"$26,487"
1008761101,"$13,377",$0,"$13,377",$0,"$251,082",$0,$0,"$304,721",$0,"$60,688"
1018670023,"$13,339","$436,316","$449,655",$0,$0,$0,$0,"$450,960",$0,"$558,816"
1001490029,"$13,311","$53,162","$66,473","$52,227","$146,979",$0,$0,"$310,495","$1,738","$154,759"
1015800007,"$13,293","$231,086","$244,379",$0,$0,$0,$0,"$244,379","$1,038","$83,324"
1021200001,"$13,248","$209,908","$223,156",$0,"$330,329",$0,"$9,820","$563,305",$0,"$302,544"
3002340067,"$13,241",$0,"$13,241",$0,$0,"$151,960",$0,"$165,201",$0,"$65,818"
1015540048,"$13,231","$351,578","$364,809",$0,$0,$0,$0,"$364,809",$0,"$121,190"
1008230009,"$13,195",$0,"$13,195",$0,"$296,640",$0,$0,"$516,710","$1,790","$194,613"
3052310034,"$13,140",$0,"$13,140",$0,$0,$0,$0,"$13,140",$0,"$133,794"
1007640053,"$13,079","$411,851","$424,930",$0,$0,$0,$0,"$424,930",$0,"$142,001"
1002090007,"$13,044","$90,000","$103,044",$0,"$84,600",$0,$0,"$187,644","$2,033","$73,287"
1009431348,"$12,913",$0,"$12,913",$0,$0,$0,$0,"$12,913","$10,162","$22,811"
3071780047,"$12,900",$0,"$12,900","$5,000","$27,450",$0,$0,"$47,550",$0,"$22,059"
1013870052,"$12,888",$0,"$12,888","$90,871","$412,500",$0,$0,"$546,677","$16,794","$194,331"
1008210064,"$12,842",$0,"$12,842","$748,604","$181,790",$0,$0,"$1,030,039","$71,350","$521,018"
1005730023,"$12,840","$100,716","$113,556",$0,$0,"$60,000",$0,"$173,556",$0,"$86,120"
1004970011,"$12,617",$0,"$12,617",$0,"$687,623",$0,$0,"$972,533",$0,"$183,084"
3052310052,"$12,600",$0,"$12,600",$0,$0,"$19,855",$0,"$32,455",$0,"$19,698"
1005940105,"$12,517","$159,649","$172,166",$0,"$34,363",$0,$0,"$240,048",$0,"$172,169"
1005510012,"$12,504","$300,097","$312,601",$0,$0,$0,$0,"$312,601","$14,020","$117,916"
1018950062,"$12,393","$149,781","$162,174","$88,560",$0,$0,$0,"$250,891",$0,"$132,983"
