BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Total Expenses
1000420001,"$8,806,247",$0,"$8,806,247","$1,275,726",$0,$0,$0,"$10,784,087","$3,107,985"
1009440045,"$8,662,688",$0,"$8,662,688",$0,"$498,664",$0,$0,"$9,334,151","$3,003,137"
1008010034,"$8,656,609",$0,"$8,656,609",$0,"$1,047,578",$0,$0,"$10,284,554","$2,544,525"
1013640034,"$8,629,640","$927,693","$9,557,333","$74,585",$0,$0,$0,"$9,811,519","$4,896,861"
1007750044,"$8,506,030",$0,"$8,506,030",$0,"$1,161,353",$0,$0,"$9,838,295","$2,176,755"
1007901102,"$8,449,276",$0,"$8,449,276",$0,$0,$0,$0,"$8,528,896","$2,639,377"
1012200001,"$8,420,814",$0,"$8,420,814",$0,"$556,000",$0,"$31,659","$9,660,161","$3,236,832"
1015520023,"$8,042,759",$0,"$8,042,759",$0,"$389,197",$0,$0,"$8,494,365","$2,340,360"
1015490001,"$7,921,225","$8,932,445","$16,853,670",$0,"$2,231,755",$0,$0,"$21,269,966","$9,921,677"
1007210007,"$7,789,884","$18,966,421","$26,756,305","$1,356,128",$0,"$24,000","$378,447","$29,969,454","$13,974,145"
1010511003,"$7,703,147",$0,"$7,703,147",$0,$0,$0,$0,"$7,712,229","$2,884,587"
2036000004,"$7,544,220",$0,"$7,544,220",$0,"$791,609",$0,"$2,668,315","$11,966,581","$10,075,695"
1009390028,"$7,313,442",$0,"$7,313,442",$0,"$1,345,992",$0,$0,"$9,065,092","$2,382,425"
1016250033,"$7,275,871",$0,"$7,275,871",$0,$0,$0,$0,"$9,650,000","$178,630"
3044151002,"$7,144,108",$0,"$7,144,108",$0,$0,$0,$0,"$7,747,545","$7,155,056"
1010330001,"$6,898,415",$0,"$6,898,415",$0,"$1,152,947",$0,$0,"$8,389,441","$2,700,169"
3002500030,"$6,797,817",$0,"$6,797,817",$0,"$525,656",$0,$0,"$7,683,848","$2,079,548"
1012080029,"$6,665,038",$0,"$6,665,038",$0,$0,$0,$0,"$6,665,038","$3,730,959"
1010460047,"$6,542,866",$0,"$6,542,866",$0,$0,$0,$0,"$7,113,715","$2,289,265"
1000690006,"$6,387,902",$0,"$6,387,902",$0,"$464,366",$0,$0,"$7,187,874","$1,409,664"
1012260029,"$6,359,405",$0,"$6,359,405",$0,"$676,033",$0,$0,"$7,517,415","$2,196,226"
3072740035,"$6,330,500",$0,"$6,330,500","$159,704",$0,$0,"$292,095","$7,607,297","$3,750,282"
3070550013,"$6,276,275",$0,"$6,276,275",$0,$0,$0,$0,"$6,418,940","$4,044,017"
1010230061,"$6,242,712",$0,"$6,242,712",$0,"$362,455",$0,$0,"$6,715,851","$2,061,033"
1012200029,"$6,095,475",$0,"$6,095,475",$0,"$2,191,560",$0,$0,"$9,232,130","$1,935,706"
1012210029,"$6,073,974",$0,"$6,073,974",$0,"$1,187,726",$0,"$288,100","$7,868,679","$2,462,767"
3072740020,"$6,062,635",$0,"$6,062,635","$54,491",$0,$0,"$338,629","$7,223,840","$3,998,293"
1015370022,"$6,018,711",$0,"$6,018,711","$167,852","$214,167",$0,"$9,431,191","$16,586,686","$6,576,750"
1000160020,"$5,893,960",$0,"$5,893,960",$0,$0,$0,$0,"$6,126,012","$1,995,619"
1013740060,"$5,842,299",$0,"$5,842,299",$0,$0,$0,$0,"$6,581,741","$4,567,941"
1001421001,"$5,751,414",$0,"$5,751,414",$0,$0,$0,$0,"$6,051,673","$2,298,775"
1009280031,"$5,535,514",$0,"$5,535,514",$0,"$583,358",$0,$0,"$6,173,986","$1,876,657"
4001170001,"$5,527,578",$0,"$5,527,578",$0,$0,$0,"$52,413","$5,685,928","$3,505,016"
4159450001,"$5,511,911",$0,"$5,511,911",$0,$0,$0,$0,"$5,713,528","$4,232,371"
4020860040,"$5,338,049","$665,957","$6,004,006",$0,"$34,901",$0,$0,"$6,193,370","$3,247,835"
1008730040,"$5,331,321",$0,"$5,331,321",$0,"$891,165",$0,$0,"$6,325,745","$2,013,024"
1015710049,"$5,229,121",$0,"$5,229,121",$0,"$186,994",$0,$0,"$5,464,389","$2,127,998"
4156380001,"$5,211,400",$0,"$5,211,400",$0,"$646,070",$0,"$2,349,253","$8,418,612","$4,920,804"
1001700001,"$5,108,839",$0,"$5,108,839",$0,"$583,175",$0,$0,"$6,455,543","$1,593,599"
1018960043,"$5,078,498",$0,"$5,078,498",$0,$0,$0,$0,"$5,197,989","$3,081,564"
1016240015,"$5,076,439",$0,"$5,076,439",$0,"$652,296",$0,$0,"$5,811,886","$2,287,801"
4051370005,"$5,055,799",$0,"$5,055,799","$102,368",$0,$0,"$32,358","$5,478,658","$2,377,214"
4051370102,"$5,053,900",$0,"$5,053,900","$138,272",$0,$0,"$55,009","$5,572,065","$2,525,175"
1020350001,"$5,035,591","$19,313","$5,054,904",$0,"$205,354",$0,$0,"$5,287,143","$4,051,929"
1009030003,"$4,985,276","$7,335,000","$12,320,276",$0,"$13,902,528",$0,$0,"$26,222,804","$64,677"
1018720043,"$4,904,825",$0,"$4,904,825","$18,150","$771,730",$0,"$26,855","$5,852,305","$2,523,925"
4022810001,"$4,893,688",$0,"$4,893,688",$0,$0,$0,"$22,809","$4,916,497","$2,708,553"
1006410017,"$4,877,139",$0,"$4,877,139",$0,$0,$0,$0,"$4,965,498","$1,210,846"
2036680001,"$4,867,226",$0,"$4,867,226","$7,004",$0,$0,$0,"$5,057,629","$3,367,484"
1014170028,"$4,841,559",$0,"$4,841,559",$0,"$947,500",$0,$0,"$5,948,769","$2,693,907"
1014230010,"$4,818,975","$22,530,264","$27,349,239",$0,"$1,884,000",$0,"$55,093","$29,747,374","$12,497,425"
1015610021,"$4,802,875","$7,047,540","$11,850,415",$0,$0,$0,$0,"$12,493,586","$6,361,250"
1000761002,"$4,714,834",$0,"$4,714,834",$0,"$105,734",$0,$0,"$4,888,414","$4,683,634"
1010640036,"$4,703,511",$0,"$4,703,511",$0,"$1,757,210",$0,$0,"$6,587,987","$1,884,983"
1018890001,"$4,587,033",$0,"$4,587,033",$0,$0,$0,$0,"$4,611,401","$1,556,137"
3021860001,"$4,523,430",$0,"$4,523,430",$0,"$338,121",$0,"$4,605,073","$9,692,887","$6,831,203"
1009130001,"$4,446,396","$6,753,595","$11,199,991","$225,245","$433,752",$0,$0,"$12,396,792","$3,450,376"
4031550027,"$4,445,136",$0,"$4,445,136",$0,"$26,689",$0,"$16,179","$4,721,701","$2,208,833"
4105930002,"$4,397,104",$0,"$4,397,104",$0,$0,$0,"$204,480","$4,786,469","$2,682,187"
3064890001,"$4,392,251","$30,310","$4,422,561","$11,386",$0,$0,"$1,119,495","$5,822,049","$2,773,183"
3064670012,"$4,383,061","$39,500","$4,422,561","$11,386",$0,$0,"$1,119,495","$5,822,049","$2,773,183"
1011240059,"$4,303,952",$0,"$4,303,952","$527,339",$0,$0,$0,"$5,058,760","$2,992,604"
1013660001,"$4,263,302","$4,591,494","$8,854,796",$0,"$413,412",$0,"$35,650","$9,426,366","$6,082,204"
1009049024,"$4,195,231",$0,"$4,195,231",$0,$0,$0,$0,"$4,881,566","$2,429,977"
1007750046,"$4,143,379",$0,"$4,143,379",$0,"$377,098",$0,$0,"$4,990,847","$975,492"
1008890068,"$4,122,344","$4,839,273","$8,961,617","$311,454","$1,042,006",$0,$0,"$10,836,835","$3,305,988"
4021170001,"$4,060,085","$96,572","$4,156,657",$0,$0,$0,"$194,014","$4,509,769","$2,683,928"
1016240045,"$4,051,781",$0,"$4,051,781",$0,"$338,796",$0,$0,"$5,171,257","$1,889,436"
