BBL,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Amortized Leasing & Tenant Improvem Expenses 1, Total Expenses 
1015090041,"$77,553","$294,955","$372,508",$0,$0,$0,$0,"$565,023",$0," $ 163,116 "
2031020015,"$77,524",$0,"$77,524",$0,$0,$0,"$181,484","$259,008",$0," $ 187,351 "
1015540008,"$77,447","$205,746","$283,193",$0,$0,$0,$0,"$283,193","$9,600"," $ 173,123 "
1002350005,"$77,443",$0,"$77,443",$0,"$41,531",$0,$0,"$118,974",$0," $ 114,109 "
1013690036,"$77,291","$26,115","$103,406",$0,$0,$0,$0,"$103,406",$0," $ 63,306 "
1014040012,"$77,070",$0,"$77,070",$0,$0,$0,$0,"$77,070","$12,710"," $ 98,271 "
1013460040,"$76,955","$317,825","$394,780","$51,713",$0,$0,$0,"$448,812",$0," $ 168,277 "
1011420032,"$76,915","$241,111","$318,026",$0,"$602,146",$0,$0,"$940,512","$72,427"," $ 209,309 "
1004500026,"$76,641","$256,583","$333,224",$0,$0,$0,$0,"$356,974",$0," $ 111,123 "
1016430052,"$76,565",$0,"$76,565",$0,"$136,950",$0,$0,"$213,515",$0," $ 95,677 "
1013890008,"$76,502","$274,815","$351,317",$0,$0,$0,$0,"$351,317",$0," $ 75,578 "
1004460033,"$76,474","$217,140","$293,614",$0,"$107,990",$0,$0,"$401,604",$0," $ 252,073 "
2031670034,"$76,360","$97,174","$173,534",$0,$0,$0,$0,"$173,534",$0," $ 219,839 "
3013250022,"$76,221",$0,"$76,221",$0,$0,$0,$0,"$76,221",$0," $ 445,629 "
1007640036,"$76,175","$81,600","$157,775",$0,"$105,420",$0,$0,"$263,195",$0," $ 161,855 "
3002430029,"$75,900","$296,400","$372,300",$0,$0,$0,$0,"$372,300",$568," $ 131,041 "
1011680160,"$75,718",$0,"$75,718",$0,$0,$0,$0,"$85,318",$0," $ 101,351 "
3023180029,"$75,690",$0,"$75,690",$0,$0,$0,$0,"$75,690",$0," $ 47,764 "
1007720004,"$75,554",$0,"$75,554",$0,"$121,603",$0,$0,"$197,157",$0," $ 71,168 "
1013780023,"$75,416","$78,495","$153,911",$0,"$1,151,867",$0,$0,"$1,309,019","$17,058"," $ 325,106 "
1004420011,"$75,336","$304,414","$379,750",$0,$0,$0,$0,"$382,706",$0," $ 141,507 "
1008840040,"$75,322",$0,"$75,322",$0,$0,"$93,500",$0,"$168,822",$0," $ 40,721 "
3011740029,"$75,011",$0,"$75,011",$0,$0,$0,$0,"$75,011",$0," $ 45,483 "
1010360051,"$74,980",$0,"$74,980",$0,"$96,000",$0,$0,"$187,485",$0," $ 66,655 "
1012270027,"$74,978","$682,376","$757,354",$0,"$124,030",$0,$0,"$881,384",$0," $ 440,135 "
1011980025,"$74,968",$0,"$74,968",$0,$0,$0,$0,"$74,968",$0," $ 54,621 "
1012280029,"$74,960","$41,100","$116,060","$160,522",$0,$0,$0,"$297,728",$0," $ 110,979 "
3030890008,"$74,851","$54,587","$129,438",$0,"$26,000",$0,$0,"$185,507",$0," $ 106,950 "
1013980014,"$74,825",$0,"$74,825","$174,000",$0,$0,$0,"$275,825",$0," $ 83,286 "
2028680127,"$74,715",$0,"$74,715",$0,$0,$0,$0,"$74,715",$0," $ 76,812 "
1008310053,"$74,666","$62,499","$137,165",$0,"$117,713",$0,$0,"$379,076",$0," $ 467,708 "
1015280011,"$74,382","$354,827","$429,209",$0,$0,$0,$0,"$429,209","$3,386"," $ 127,837 "
4001670001,"$74,351",$0,"$74,351",$0,"$315,318",$0,$0,"$389,669",$0," $ 82,073 "
1015780041,"$74,280","$48,600","$122,880",$0,$0,$0,$0,"$122,880",$0," $ 30,151 "
1006140043,"$74,260","$325,847","$400,107",$0,$0,$0,$0,"$400,107","$34,299"," $ 133,866 "
3025410021,"$74,250",$0,"$74,250",$0,$0,$0,$0,"$74,250",$0," $ 26,868 "
1013810059,"$74,248","$336,799","$411,047",$0,"$228,635",$0,$0,"$659,193","$7,481"," $ 183,655 "
1014520026,"$74,226","$391,896","$466,122",$0,$0,$0,$0,"$466,122","$2,821"," $ 167,219 "
3012100003,"$74,196",$0,"$74,196",$0,$0,$0,$0,"$74,196",$0," $ 40,477 "
1011280005,"$73,965","$21,626","$95,591",$0,$0,$0,$0,"$95,591","$18,731"," $ 78,532 "
1014360036,"$73,824","$463,915","$537,739",$0,$0,$0,$0,"$537,739",$0," $ 158,469 "
1010430059,"$73,814",$0,"$73,814",$0,$0,$0,$0,"$73,814",$0," $ 79,742 "
1004100043,"$73,808","$78,512","$152,320",$0,"$36,174",$0,$0,"$188,494","$1,865"," $ 139,238 "
3002920002,"$73,794","$343,593","$417,387",$0,$0,$0,$0,"$417,387","$2,078"," $ 96,634 "
1013430031,"$73,757","$121,228","$194,985",$0,$0,$0,$0,"$194,985",$0," $ 82,391 "
1003480074,"$73,743","$205,500","$279,243",$0,"$33,201",$0,$0,"$312,444",$0," $ 174,466 "
4107410170,"$73,635",$0,"$73,635",$0,$0,$0,"$4,892","$78,527",$0," $ 56,597 "
2024270040,"$73,623",$0,"$73,623",$0,$0,$0,$0,"$74,007",$0," $ 45,205 "
1014840051,"$73,615",$0,"$73,615",$0,"$111,987",$0,$0,"$185,602",$0," $ 314,265 "
3002210027,"$73,586",$0,"$73,586",$0,$0,$0,$0,"$73,586",$0," $ 21,078 "
1015940022,"$73,573","$415,247","$488,820",$0,$0,$0,$0,"$488,820",$0," $ 225,216 "
1004630017,"$73,497","$225,137","$298,634",$0,"$157,220",$0,$0,"$455,854",$0," $ 109,031 "
1014680002,"$73,334","$144,432","$217,766",$0,"$53,217",$0,$0,"$567,640","$9,792"," $ 127,329 "
1007700036,"$73,154",$0,"$73,154",$0,"$163,272",$0,$0,"$264,944",$0," $ 116,838 "
1014150120,"$73,000",$0,"$73,000",$0,"$216,000",$0,$0,"$289,000",$0," $ 88,500 "
1017290051,"$72,993",$0,"$72,993",$0,$0,$0,$0,"$75,993","$12,605"," $ 82,771 "
1008930035,"$72,983","$36,000","$108,983",$0,$0,$0,$0,"$108,983",$0," $ 33,309 "
1021520045,"$72,969",$0,"$72,969",$0,$0,$0,$0,"$72,969",$0," $ 65,854 "
3009630062,"$72,856",$0,"$72,856",$0,$0,"$60,000",$0,"$132,856",$0," $ 104,228 "
1005930028,"$72,855","$63,627","$136,482",$0,"$84,500","$120,000",$0,"$340,982",$0," $ 328,376 "
1006150089,"$72,836","$115,740","$188,576",$0,$0,$0,$0,"$191,591",$0," $ 67,048 "
1015620039,"$72,817","$163,301","$236,118",$0,$0,$0,$0,"$236,823",$0," $ 141,734 "
1002050019,"$72,778","$121,110","$193,888",$0,"$40,000",$0,$0,"$266,048",$0," $ 111,626 "
1011280041,"$72,725","$204,367","$277,092",$0,$0,$0,$0,"$277,092","$51,302"," $ 164,543 "
1012400057,"$72,668","$54,834","$127,502",$0,$0,$0,$0,"$127,502",$0," $ 82,646 "
1007640034,"$72,613","$22,800","$95,413",$0,"$79,553",$0,$943,"$175,909",$0," $ 40,715 "
3004590014,"$72,612","$182,580","$255,192",$0,$0,$0,$0,"$255,192",$0," $ 55,999 "
3010660011,"$72,589","$215,056","$287,645",$0,$0,$0,$0,"$287,645",$0," $ 112,836 "
1002770054,"$72,438",$0,"$72,438",$0,"$42,000",$0,$0,"$114,438",$0," $ 58,468 "
1004890018,"$72,438","$243,002","$315,440",$0,"$312,030",$0,$0,"$631,378","$4,693"," $ 277,213 "
