BBL ,Regulated Apt Income,Unregulated Apt Income,Total Apartment Rental Income ,Office Income,Retail Income,Owner Occupied Income,Gov't Rent Subsidies Income,Total Real Estate Income,Total Expenses
1000840036,"$85,717,006",$0,"$85,717,006",$0,$0,"$5,996,853",$0,"$102,229,470","$27,215,006"
3044350001,"$51,211,609",$0,"$51,211,609",$0,"$1,362,053",$0,"$63,667,084","$122,143,845","$88,404,458"
1010891102,"$40,860,505",$0,"$40,860,505",$0,"$501,959",$0,$0,"$43,253,285","$17,800,888"
1001420025,"$32,541,089",$0,"$32,541,089",$0,"$2,435,102",$0,"$13,072,111","$53,798,921","$20,732,987"
1010890001,"$28,455,432",$0,"$28,455,432",$0,"$2,107,996",$0,$0,"$32,399,943","$12,972,652"
1017370001,"$24,813,889",$0,"$24,813,889",$0,"$52,121",$0,"$1,173,881","$27,176,550","$16,456,694"
1000160180,"$18,951,388",$0,"$18,951,388",$0,$0,$0,$0,"$19,746,289","$5,321,419"
1000164601,"$18,693,841",$0,"$18,693,841",$0,$0,$0,$0,"$19,558,504","$4,795,869"
1018521101,"$18,442,300",$0,"$18,442,300",$0,$0,$0,$0,"$18,894,465","$4,782,402"
1000330001,"$18,232,928","$2,562","$18,235,490",$0,$0,$0,$0,"$20,426,766","$8,862,020"
1010190001,"$15,562,211",$0,"$15,562,211",$0,"$2,178,514",$0,$0,"$18,727,680","$4,602,937"
1002760039,"$15,484,224","$269,076","$15,753,300",$0,$0,$0,$0,"$15,753,300","$109,097"
1002530001,"$15,091,203",$0,"$15,091,203",$0,"$477,076",$0,"$1,638,827","$20,554,455","$17,355,773"
1015140039,"$14,825,446",$0,"$14,825,446",$0,"$2,653,884",$0,$0,"$19,012,850","$6,054,649"
1000160185,"$14,417,243",$0,"$14,417,243",$0,$0,$0,$0,"$15,077,341","$4,260,387"
1002240001,"$13,632,822",$0,"$13,632,822",$0,$0,$0,$0,"$14,455,617","$3,479,635"
1012980041,"$13,461,074",$0,"$13,461,074",$0,"$533,057",$0,$0,"$14,282,751","$3,867,668"
1011631304,"$13,420,038",$0,"$13,420,038",$0,$0,$0,$0,"$13,547,740","$3,135,117"
1007010062,"$13,285,365",$0,"$13,285,365",$0,"$204,715",$0,$0,"$14,485,781","$3,935,919"
1000164201,"$12,351,784",$0,"$12,351,784",$0,$0,$0,$0,"$12,889,057","$3,517,227"
1008260001,"$11,258,708",$0,"$11,258,708",$0,"$1,401,798",$0,$0,"$13,508,170","$4,593,997"
1008630067,"$11,242,167",$0,"$11,242,167",$0,$0,$0,$0,"$12,865,755","$3,256,137"
3001220013,"$11,077,288",$0,"$11,077,288",$0,"$63,811",$0,$0,"$11,326,643","$6,669,667"
1000150022,"$10,776,134",$0,"$10,776,134",$0,"$36,000",$0,$0,"$11,050,789","$3,867,270"
1012780069,"$10,566,148","$2,860,000","$13,426,148",$0,$0,$0,$0,"$15,502,223","$6,154,786"
1001700020,"$10,454,852",$0,"$10,454,852",$0,"$857,667",$0,$0,"$12,620,928","$2,847,577"
1008010034,"$10,083,338",$0,"$10,083,338",$0,"$1,127,991",$0,$0,"$11,586,990","$2,562,405"
4029740060,"$9,815,068",$0,"$9,815,068",$0,$0,$0,$0,"$10,086,772","$5,132,880"
1015520023,"$8,701,429",$0,"$8,701,429",$0,"$442,174",$0,$0,"$9,241,829","$2,482,816"
1015370022,"$8,691,556",$0,"$8,691,556","$198,040","$178,869",$0,"$7,216,969","$17,627,645","$8,648,559"
1015490001,"$8,655,671","$10,109,985","$18,765,656",$0,"$2,485,860",$0,$0,"$22,508,479","$12,285,267"
3069630001,"$8,254,251",$0,"$8,254,251",$0,$0,$0,$0,"$8,459,885","$6,599,062"
1010799029,"$8,148,255","$4,943,259","$13,091,514",$0,"$342,193",$0,$0,"$13,580,325","$5,784,993"
2036000004,"$8,031,380",$0,"$8,031,380",$0,"$860,730",$0,"$2,663,844","$12,628,960","$11,026,812"
1010460047,"$7,705,083",$0,"$7,705,083",$0,$0,$0,$0,"$8,364,871","$2,270,116"
4031750001,"$7,601,277","$23,036,204","$30,637,481","$849,288",$0,$0,$0,"$34,493,576","$15,850,727"
1013730001,"$7,194,725",$0,"$7,194,725","$62,273",$0,$0,$0,"$7,352,676","$4,361,937"
1013110045,"$7,006,960",$0,"$7,006,960","$185,450",$0,$0,$0,"$7,245,799","$2,521,565"
1018331601,"$6,907,574",$0,"$6,907,574",$0,$0,$0,$0,"$6,920,789","$1,164,646"
